species,ab,ap,am,d_V,Wwb,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,h_a,E_Hb_p,E_Hp
Buphagus_erythrorhynchus,2.572227e+00,1.169345e+01,1.016530e+03,2.800000e-01,3.200000e+00,5.900000e+01,6.307732e-02,3.147500e+02,False,False,1.542006e+03,9.473500e-01,4.035300e-02,7.126989e+02,3.345000e-14,3.526462e-02,9.372000e+03
Setophaga_striata,2.449740e+00,6.098230e+00,3.595587e+02,2.800000e-01,1.500000e+00,1.500000e+01,2.252762e-01,3.147500e+02,False,False,1.153119e+03,9.249500e-01,3.673400e-02,7.785236e+02,3.438000e-12,8.143016e-02,3.608000e+03
Sistrurus_catenatus,4.349394e+01,4.906279e+02,4.619204e+03,3.000000e-01,5.500268e+00,3.840000e+02,3.463800e-02,2.991500e+02,False,False,1.337892e+02,7.990500e-01,2.051200e-02,1.836370e+01,2.089000e-10,2.615777e-02,2.155000e+05
Latimeria_chalumnae,7.552162e+02,1.032895e+04,3.098686e+04,2.000000e-01,4.736290e+02,8.000000e+04,2.317217e-02,2.871500e+02,False,False,7.163132e+02,7.252800e-01,4.782800e-02,1.905950e+01,2.503900e-09,4.574852e-03,2.745544e+07
Pagurus_bernhardus,1.169902e+03,2.126794e+03,3.827565e+03,1.700000e-01,1.800000e-05,5.400000e+01,6.270305e-01,2.831500e+02,True,False,3.868353e+01,9.999000e-01,2.051500e-02,9.423950e+01,4.945000e-07,2.218237e-06,2.621000e+00
Anous_minutus,1.016597e+01,1.610636e+01,1.305764e+03,2.800000e-01,1.680000e+01,1.120000e+02,2.075413e-02,3.138500e+02,False,False,1.603557e+03,9.943000e-01,9.740000e-02,5.050736e+02,1.296000e-13,3.033775e-02,1.510000e+04
Gavia_immer,4.345662e+00,1.568833e+01,1.357570e+03,2.800000e-01,7.960000e+01,4.040000e+03,3.550662e-02,3.121500e+02,False,False,4.865910e+03,9.965700e-01,4.484900e-02,7.927189e+02,1.554000e-12,1.003187e-02,4.706000e+04
Pelophylax_caralitanus,1.163637e+01,1.608868e+03,5.856515e+03,2.800000e-01,4.200000e-03,9.700000e+01,1.283784e+01,2.891500e+02,False,False,2.243129e+02,5.052800e-01,2.736000e-02,3.235720e+01,2.596000e-08,1.316614e-04,9.889000e+04
Salvator_merianae,4.049713e+01,1.396796e+02,3.535751e+03,3.000000e-01,1.000000e+01,7.000000e+03,2.359012e-01,3.051500e+02,False,False,2.910635e+03,9.729400e-01,2.522900e-02,3.942191e+02,3.546000e-10,1.664875e-03,1.674000e+05
Chelictinia_riocourii,5.543368e+00,1.095791e+01,9.911041e+02,2.800000e-01,1.200000e+01,1.100000e+02,6.792894e-02,3.116700e+02,False,False,5.560580e+03,9.893300e-01,8.060200e-02,2.607103e+03,3.684000e-16,1.645438e-02,2.685000e+04
Pelophylax_porosus,3.470897e+00,1.175602e+03,4.102459e+03,2.800000e-01,4.200000e-03,6.250000e+01,8.531469e+00,2.881500e+02,False,False,3.210265e+02,6.616400e-01,4.679100e-02,6.841590e+01,7.317000e-08,9.681668e-05,8.199000e+04
Trichoglossus_haematodus,4.040705e+00,1.252619e+01,1.215282e+03,2.800000e-01,1.000000e+01,1.284000e+02,3.390158e-02,3.116500e+02,False,False,3.412780e+03,9.948300e-01,9.006600e-02,1.270730e+03,2.061000e-16,8.833500e-03,2.006000e+04
Turdus_viscivorus,2.960102e+00,8.432837e+00,9.410672e+02,2.800000e-01,6.000000e+00,1.175000e+02,1.576933e-01,3.147500e+02,False,False,3.158757e+03,9.641500e-01,3.094600e-02,1.577497e+03,7.606000e-13,5.016878e-02,4.740000e+03
Eremias_suphani,2.421747e+01,3.306185e+03,5.860656e+03,3.000000e-01,4.000000e-01,5.990000e+00,8.531469e-03,2.881500e+02,False,False,1.519636e+02,2.045300e-01,2.526300e-02,2.081790e+01,2.149000e-08,1.085492e-01,5.018000e+04
Anaxyrus_californicus,3.483537e+00,7.334835e+02,2.920000e+03,2.800000e-01,4.200000e-03,1.760000e+02,1.287671e+01,2.931500e+02,False,False,2.584439e+03,9.399900e-01,2.013900e-02,1.203779e+03,1.717000e-08,1.169099e-06,1.165000e+05
Gelochelidon_nilotica,6.727480e+00,1.042372e+01,7.709310e+02,2.800000e-01,2.100000e+01,2.400000e+02,6.226238e-02,3.138500e+02,False,False,4.123822e+03,9.921500e-01,6.335200e-02,1.470211e+03,1.728000e-12,2.790393e-02,1.832000e+04
Meleagris_gallopavo,4.966471e+00,1.379507e+01,5.984529e+02,2.800000e-01,4.700000e+01,1.500000e+04,2.389495e-01,3.143500e+02,False,False,1.050335e+04,9.960800e-01,2.012500e-02,1.832415e+03,1.226000e-12,3.921133e-03,3.601000e+04
Zanda_funerea,6.823087e+00,1.877038e+01,2.352516e+03,2.800000e-01,2.600000e+01,8.000000e+02,3.485631e-02,3.119500e+02,False,False,1.207061e+04,9.954400e-01,2.564900e-02,5.402441e+03,8.583000e-16,6.026436e-03,3.707000e+04
Danio_rerio,3.163838e+00,4.537285e+01,9.501580e+02,2.000000e-01,5.120000e-04,1.000000e+00,4.148784e+02,2.931500e+02,True,False,1.507237e+02,3.575600e-01,1.960000e-02,2.430010e+02,8.970000e-10,3.356629e-04,2.361000e+03
Ardea_purpurea,4.943370e+00,1.142489e+01,1.430719e+03,2.800000e-01,3.700000e+01,1.066000e+03,7.101325e-02,3.121500e+02,False,False,2.646080e+04,9.966800e-01,8.382400e-02,9.500000e+03,2.624000e-18,2.968107e-03,7.776000e+04
Euryceros_prevostii,3.266320e+00,9.103904e+00,7.102394e+02,2.800000e-01,8.000000e+00,8.600000e+01,6.082456e-02,3.147500e+02,False,False,1.363420e+03,9.683200e-01,4.677500e-02,5.278162e+02,1.573000e-12,6.983564e-02,9.309000e+03
Ardenna_gravis,2.344658e+01,4.011336e+01,2.867071e+03,2.800000e-01,2.300000e+02,1.300000e+03,1.775331e-02,3.121500e+02,False,False,1.608819e+04,9.815900e-01,3.551500e-02,6.038546e+03,2.823000e-15,2.503188e-02,5.489000e+05
Lanius_tephronotus,2.960102e+00,8.797686e+00,4.483386e+02,2.800000e-01,3.600000e+00,4.850000e+01,2.207706e-01,3.147500e+02,False,False,1.244659e+03,9.196100e-01,3.740100e-02,5.731028e+02,7.592000e-13,5.160856e-02,1.262000e+04
Pseudosida_bidentata,9.315265e-01,2.484071e+00,1.508186e+01,1.700000e-01,1.292869e-05,5.176471e-04,9.017456e+00,3.021500e+02,False,False,1.382361e+02,7.219100e-01,2.034800e-02,1.738753e+03,2.674000e-05,6.957390e-02,1.502000e-01
Cistothorus_palustris,2.858030e+00,7.601067e+00,3.995097e+02,2.800000e-01,6.730000e-01,9.400000e+00,2.252762e-01,3.147500e+02,False,False,6.545736e+02,9.398200e-01,2.566300e-02,4.961540e+02,9.885000e-13,5.657027e-02,1.971000e+03
Eunymphicus_cornutus,3.475006e+00,1.026339e+01,1.162188e+03,2.800000e-01,5.000000e+00,1.200000e+02,5.085238e-02,3.116500e+02,False,False,1.008119e+04,9.935100e-01,1.470300e-02,9.837702e+03,2.519000e-13,1.619036e-02,4.150000e+03
Branchotenthes_octohamatus,2.467604e+00,9.428611e+00,1.396026e+01,7.000000e-02,2.300000e-13,2.600000e-03,3.581595e+02,2.931500e+02,True,False,1.207592e-01,9.947400e-01,4.010900e-04,2.129670e+01,4.475000e-09,7.137022e-06,2.693000e-02
Leuconotopicus_borealis,2.433265e+00,6.423404e+00,9.766451e+02,2.800000e-01,3.300000e+00,4.800000e+01,5.707907e-02,3.120000e+02,False,False,8.327971e+03,9.943200e-01,2.571800e-02,8.384128e+03,1.371000e-14,1.944017e-02,2.340000e+03
Dryocopus_martius,2.654471e+00,6.879324e+00,7.995925e+02,2.800000e-01,9.000000e+00,2.550000e+02,8.404281e-02,3.120000e+02,False,False,1.415013e+04,9.942200e-01,2.732500e-02,9.606896e+03,4.862000e-13,1.593895e-02,6.257000e+03
Aldabrachelys_gigantea,4.349394e+01,6.363147e+03,4.449036e+04,3.000000e-01,6.540000e+01,1.590000e+05,7.911827e-02,2.971500e+02,False,False,7.484542e+01,8.901600e-01,6.381100e-02,1.297300e+00,4.295000e-12,2.070263e-03,2.391000e+07
Fejervarya_limnocharis,3.000000e+01,2.411462e+02,1.055731e+03,2.800000e-01,1.900000e-03,6.000000e+00,4.262449e+00,2.991500e+02,False,False,4.596761e+01,5.284200e-01,1.946800e-02,1.495610e+01,1.134000e-08,7.577500e-04,1.200000e+04
Falco_biarmicus,7.244494e+00,1.366001e+01,1.370730e+03,2.800000e-01,3.100000e+01,7.405000e+02,6.565845e-02,3.120000e+02,False,False,1.074359e+04,9.917300e-01,3.310100e-02,4.197753e+03,1.502000e-12,1.814211e-02,3.251000e+04
Bolitoglossa_subpalmata,4.057941e+02,3.276468e+03,3.349120e+04,2.800000e-01,5.000000e-02,3.300000e+01,5.225254e-02,2.831500e+02,False,False,2.460282e+02,8.690400e-01,2.083600e-02,9.543310e+01,3.965000e-09,3.885888e-03,5.924000e+03
Porcellio_scaber,3.500000e+01,4.350000e+02,1.500000e+03,1.700000e-01,4.000000e-04,8.340000e-02,2.600000e-01,2.931500e+02,False,False,3.471825e+01,8.443800e-01,2.356000e-02,7.529510e+01,2.087000e-08,2.985264e-03,9.433000e+01
Girardinus_denticulatus,1.680417e+01,6.721670e+01,5.476360e+02,2.000000e-01,1.230000e-02,1.400000e+00,5.478091e-01,3.006500e+02,True,False,1.696486e+02,8.851300e-01,1.493900e-02,3.537696e+02,3.445000e-08,1.060149e-02,4.306000e+02
Tachycineta_bicolor,2.858030e+00,1.015501e+01,9.366282e+02,2.800000e-01,1.660000e+00,2.450000e+01,1.126381e-01,3.147500e+02,False,False,8.426283e+02,9.493300e-01,3.361000e-02,4.642941e+02,5.843000e-13,4.184956e-02,5.331000e+03
Emydura_macquarii,6.483123e+01,3.098600e+03,6.340577e+03,3.000000e-01,8.000000e+00,4.000000e+03,1.186643e-01,2.951500e+02,False,False,2.940998e+02,7.362000e-01,6.046400e-02,1.640250e+01,1.211000e-09,1.169521e-03,1.168000e+07
Casuarius_casuarius,1.647228e+01,6.221836e+01,1.824843e+03,2.800000e-01,4.130000e+02,5.850000e+04,9.863860e-02,3.113200e+02,False,False,1.019215e+03,9.844600e-01,1.407600e-01,3.313300e+01,1.119000e-12,9.262143e-03,2.697000e+06
Platalea_ajaja,3.972351e+00,1.006807e+01,1.577171e+03,2.800000e-01,5.000000e+01,1.519500e+03,5.325993e-02,3.121500e+02,False,False,2.490128e+04,9.962300e-01,5.681000e-02,8.976156e+03,6.680000e-17,6.617267e-03,5.803000e+04
Chiroxiphia_lanceolata,3.470465e+00,8.578351e+00,4.438996e+02,2.800000e-01,2.200000e+00,1.850000e+01,4.505523e-02,3.147500e+02,False,False,1.127908e+02,9.739700e-01,9.307000e-02,4.425350e+01,4.041000e-13,2.166335e-01,2.008000e+03
Aegopinella_epipedostoma,3.015461e+01,3.437626e+02,8.805146e+02,1.500000e-01,5.128976e-04,1.666667e-01,4.542798e-02,2.946500e+02,True,False,2.732214e+01,9.691700e-01,1.209900e-02,1.540150e+02,2.736000e-07,2.403471e-03,2.305000e+01
Remiz_pendulinus,2.858030e+00,1.015501e+01,3.107297e+02,2.800000e-01,9.000000e-01,9.900000e+00,2.703314e-01,3.147500e+02,False,False,5.611568e+02,8.206500e-01,3.188000e-02,3.313999e+02,2.866000e-12,5.169111e-02,1.159000e+04
Pelagodroma_marina,8.951822e+00,2.112630e+01,1.960449e+03,2.800000e-01,6.500000e+00,6.000000e+01,1.530262e-02,3.105500e+02,False,False,1.978930e+03,9.945000e-01,5.234300e-02,9.307820e+02,2.304000e-14,1.595326e-02,8.387000e+03
