species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,1-kap,v,s_p_M,s_Hb_bj,s_Hbj_p,E_Hp,k_J,1/s_M,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C,data_split
Trematomus_hansoni,7.006655e+02,6.467977e+04,2.000000e-01,1.400000e-02,3.840000e+01,2.727000e+02,9.276471e-01,2.714500e+02,True,2.327816e+03,2.293200e-01,1.924500e-02,1.082325e-02,8.150979e-02,7.222222e-04,2.898000e+04,2.000000e-03,4.611478e-01,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,val
Trematomus_lepidorhinus,4.867781e+02,5.634843e+04,2.000000e-01,2.100000e-03,6.390000e+01,2.708000e+02,3.641628e+00,2.722500e+02,True,5.237435e+02,3.859600e-01,2.217900e-02,7.952092e-02,5.298340e-01,1.818108e-05,1.226000e+05,2.000000e-03,8.127306e-01,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,train
Trematomus_loennbergii,4.867781e+02,5.634843e+04,2.000000e-01,3.100000e-03,6.220000e+01,2.700000e+02,4.450878e+00,2.722500e+02,True,7.915563e+02,7.525600e-01,2.217900e-02,8.860684e-02,6.427459e-01,2.980106e-05,3.016000e+05,2.000000e-03,8.653754e-01,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,test
Trematomus_newnesi,7.006655e+02,6.260927e+04,2.000000e-01,3.600000e-02,2.410000e+01,1.702000e+02,9.976158e-01,2.717500e+02,True,3.390217e+03,5.152700e-01,2.565000e-02,6.229233e-03,5.131955e-02,7.186929e-03,4.376000e+04,2.000000e-03,4.031361e-01,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,train
Trematomus_nicolai,4.867781e+02,5.947881e+04,2.000000e-01,4.200000e-03,1.473000e+02,6.248000e+02,2.843029e+00,2.717500e+02,True,3.097861e+02,4.377900e-01,4.552300e-02,1.318810e-01,6.357074e-01,2.451628e-05,4.238000e+05,2.000000e-03,8.611380e-01,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,train
Trematomus_pennellii,7.006655e+02,5.497780e+04,2.000000e-01,4.200000e-03,4.930000e+01,3.630000e+02,2.040824e+00,2.714500e+02,True,4.351279e+03,9.627000e-02,2.247200e-02,8.672578e-03,1.038961e-01,7.664234e-05,1.507000e+04,2.000000e-03,4.969993e-01,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,test
Trematomus_scotti,7.006655e+02,6.524555e+04,2.000000e-01,4.200000e-03,1.930000e+01,1.328000e+02,1.685939e+00,2.714500e+02,True,4.166710e+03,1.286900e-01,2.247200e-02,6.814602e-03,9.465291e-02,2.604765e-04,8.185000e+03,2.000000e-03,4.863406e-01,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,train
Triakis_megalopterus,3.734028e+02,9.740943e+03,2.000000e-01,1.339028e+02,8.400000e+02,3.500000e+03,1.154919e-02,2.924500e+02,False,3.267272e+02,3.384800e-01,3.339400e-02,1.903368e-01,1.000000e+00,9.272405e-02,1.127000e+06,2.000000e-03,1.000000e+00,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,train
Triakis_scyllium,7.546267e+02,1.554531e+04,2.000000e-01,6.180000e+01,5.870000e+03,1.630000e+04,1.987738e-02,2.855500e+02,False,6.204094e+02,2.758400e-01,4.806000e-02,2.783135e-01,1.000000e+00,6.066912e-03,6.247000e+06,2.000000e-03,1.000000e+00,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,val
Triakis_semifasciata,7.546267e+02,2.263880e+04,2.000000e-01,2.830000e+01,5.130000e+03,1.610000e+04,3.842960e-02,2.855500e+02,False,4.828196e+02,3.517400e-01,2.853900e-02,2.755085e-01,1.000000e+00,3.513259e-03,5.317000e+06,2.000000e-03,1.000000e+00,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,train
