0,0.205
0,0.196
0,0.222
0,0.257
0,0.25
0,0.203
0,0.2
0,0.192
0,0.206
0,0.145
24,0.22
32,0.227
44,0.307
47,0.372
48,0.365
50,0.361
51,0.288
51,0.399
55,0.34
112,0.379
124,0.683
127,0.72
128,0.668
130,0.695
131,0.518
131,0.692
135,0.664
