species,ab,ap,am,d_V,Wwb,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,h_a,E_Hb_p,E_Hp,class_other,class_Actinopterygii,class_Aves,class_Mammalia,class_Reptilia,class_Amphibia,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Anarhichas_denticulatus,1.609634e+03,1.175033e+04,3.133420e+04,2.000000e-01,9.740981e-02,3.200000e+04,2.170153e+01,2.761500e+02,True,False,4.216785e+02,7.329700e-01,1.713100e-02,2.302769e+02,2.594900e-07,7.433951e-06,6.924138e+06,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
Anarhichas_minor,3.886813e+02,3.310269e+03,9.930808e+03,2.000000e-01,8.700000e-02,2.790000e+04,7.443503e+01,2.766500e+02,True,False,3.556813e+01,7.430300e-01,7.355100e-03,2.005630e+01,5.694000e-09,9.929833e-05,8.836000e+05,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
Aphanopus_carbo,2.941349e+00,9.763851e+03,1.746559e+04,2.000000e-01,5.200000e-04,3.362000e+03,1.603152e+02,2.816500e+02,True,False,3.429957e+03,9.707500e-01,2.026600e-02,1.877965e+03,1.120000e-07,4.460072e-08,6.399000e+04,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True
Archosargus_probatocephalus,1.010302e+00,4.572603e+02,7.300000e+03,2.000000e-01,2.680000e-04,1.275000e+04,3.872609e+02,2.931500e+02,True,False,1.808545e+02,9.942500e-01,8.384900e-02,2.311420e+01,1.102000e-09,3.256018e-07,1.828000e+04,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True
Argopecten_purpuratus,4.839344e+00,9.289326e+01,2.678307e+03,9.000000e-02,1.482222e-06,2.137778e+02,6.084888e+05,2.891500e+02,True,False,5.186611e+01,9.719000e-01,3.876000e-02,5.168000e+01,5.544000e-08,3.783247e-08,7.557000e+01,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
Arion_subfuscus,6.743768e+01,3.355828e+02,5.860656e+02,1.500000e-01,2.000000e-02,1.080000e+01,1.023776e-01,2.911500e+02,True,False,1.852346e+02,9.814300e-01,2.802200e-02,4.659731e+02,5.021000e-06,8.345740e-03,1.209000e+02,True,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,True,False
Asellus_aquaticus,1.720602e+01,6.208892e+01,1.122072e+03,1.700000e-01,5.000000e-04,4.500000e-02,1.138630e+00,2.881500e+02,True,False,8.807004e+01,9.089200e-01,9.754100e-03,5.275728e+02,4.969000e-07,4.074146e-02,5.152000e-01,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,False
Atherina_presbyter,4.174714e+01,5.075802e+02,3.924371e+03,2.000000e-01,2.200000e-03,7.040000e+01,8.791218e+00,2.851500e+02,True,False,1.214038e+02,6.546000e-01,2.951000e-02,3.583000e+01,5.235000e-07,8.332532e-04,4.162000e+03,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True
Baikaiobia_guttata,1.738456e+02,5.286325e+02,2.589945e+03,7.000000e-02,9.400000e-04,2.800000e-01,3.088869e-03,2.931500e+02,True,False,7.953393e+01,9.938500e-01,1.735300e-02,3.503293e+02,6.374000e-06,1.563036e-02,3.149000e-01,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
Betta_splendens,1.210874e+00,6.030151e+01,1.767876e+03,2.000000e-01,5.200000e-04,4.700000e+00,2.206038e+00,3.011500e+02,True,False,3.456954e+01,9.997400e-01,7.418600e-02,4.417700e+01,1.034000e-10,2.983774e-05,2.157000e+01,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Biomphalaria_glabrata,1.300000e+01,5.020000e+01,3.600000e+02,1.500000e-01,3.879400e-04,2.350000e+00,1.370000e+02,2.931500e+02,True,False,1.848408e+02,5.410000e-01,2.103000e-02,8.688000e+02,5.001000e-07,4.674528e-04,1.060000e+03,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
Birgus_latro,2.123730e+01,9.869746e+02,1.931475e+04,1.700000e-01,4.100000e-04,1.000000e+03,7.144800e+02,2.831500e+02,True,False,1.350696e+01,7.625300e-01,1.161800e-02,2.025500e+00,2.574000e-15,2.998086e-06,1.567000e+05,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False
Blicca_bjoerkna,7.500000e+00,1.988658e+03,4.402573e+03,2.000000e-01,3.800000e-03,5.764741e+02,2.271399e+02,2.911500e+02,True,False,7.938162e+01,9.752500e-01,8.184300e-02,8.070400e+00,1.769000e-08,3.323455e-05,1.181000e+04,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True
Boops_boops,4.824738e+00,6.561643e+02,3.522059e+03,2.000000e-01,5.240000e-04,2.160000e+02,3.564961e+02,2.911500e+02,True,False,2.975525e+02,7.885400e-01,6.279000e-02,4.939830e+01,2.236000e-08,5.160739e-06,5.848000e+04,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True
Brachidontes_pharaonis,1.100000e+00,1.831000e+02,1.460000e+03,9.000000e-02,2.053401e-08,1.545600e+00,1.208408e+03,2.931500e+02,True,False,8.202124e+00,9.830000e-01,1.868000e-02,1.424000e+01,4.156000e-08,1.820620e-06,2.163000e+00,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False
Branchinecta_lindahli,7.291188e-01,7.564607e+00,2.278496e+01,1.700000e-01,9.200000e-06,2.176471e-02,1.097215e+02,2.941500e+02,True,False,2.866187e+02,9.339300e-01,3.630100e-02,7.329932e+03,2.077000e-04,5.064730e-04,3.167000e+00,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False
Branchinella_thailandensis,1.898303e+00,6.011293e+00,1.423727e+01,1.700000e-01,6.395721e-07,2.147059e-01,6.286865e+02,2.981500e+02,True,False,3.450261e+02,9.977000e-01,3.234300e-02,8.282586e+03,1.237000e-04,1.534258e-06,2.306000e+00,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
Branchiostoma_floridae,9.097310e-01,1.528348e+01,7.305140e+02,6.000000e-02,7.221500e-05,4.218000e-01,6.870163e+02,3.036500e+02,True,False,6.232006e+00,8.286000e-01,1.170000e-02,2.608000e+01,3.967000e-10,2.717961e-04,8.591000e+00,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Branchipus_schaefferi,8.985301e-01,7.226207e+00,4.429374e+01,1.700000e-01,1.520875e-05,8.000000e-02,1.553482e+02,2.981500e+02,True,False,1.309715e+02,9.141600e-01,2.103200e-02,1.614468e+03,3.005000e-06,3.879528e-04,1.270000e+01,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
Branchotenthes_octohamatus,2.467604e+00,9.428611e+00,1.396026e+01,7.000000e-02,2.300000e-13,2.600000e-03,3.581595e+02,2.931500e+02,True,False,1.207592e-01,9.947400e-01,4.010900e-04,2.129670e+01,4.475000e-09,7.137022e-06,2.693000e-02,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False
Caenorhabditis_elegans,4.583333e-01,3.166667e+00,2.100000e+01,7.000000e-02,2.400000e-08,4.300000e-06,2.180000e+02,2.931500e+02,True,False,1.750133e+01,8.500000e-01,8.930000e-02,2.652000e+03,2.171000e-04,5.660911e-03,9.903000e-04,True,False,False,False,False,False,True,True,True,True,False,True,False,False,False,False,True,False,False,False,False
Cancer_pagurus,9.589244e+02,3.415719e+03,1.169902e+05,1.700000e-01,3.300000e-05,3.100000e+03,2.564317e+03,2.811500e+02,True,False,1.609452e+01,9.454800e-01,1.996900e-02,6.354470e+01,3.377000e-11,9.813278e-08,1.446000e+05,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
Cepaea_nemoralis,2.412369e+01,4.643810e+02,3.522059e+03,1.500000e-01,2.304000e-03,1.333333e+00,1.817119e-01,2.946500e+02,True,False,1.455591e+01,8.280200e-01,3.411800e-02,2.490770e+01,4.252000e-09,1.808788e-02,1.229000e+02,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False
Cerastoderma_edule,4.373967e+00,4.689196e+02,1.192109e+04,9.000000e-02,2.700000e-07,1.000000e+01,3.405372e+03,2.861500e+02,True,False,1.419325e+01,9.689000e-01,9.151600e-03,1.833310e+01,3.170100e-08,1.342329e-06,7.054900e+00,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False
Chaenocephalus_aceratus,4.928058e+02,1.997917e+04,5.995803e+04,2.000000e-01,4.500000e-02,9.780000e+02,7.547279e+00,2.721500e+02,True,False,1.068416e+03,2.800800e-01,1.129400e-01,1.486104e+02,1.071000e-07,1.521359e-05,1.030000e+07,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
Chanos_chanos,2.874055e+00,4.857246e+02,2.428623e+03,2.000000e-01,3.561978e-04,1.400000e+04,2.161719e+04,3.021500e+02,True,False,7.724968e+02,7.455000e-01,4.969000e-02,3.923000e+01,6.052000e-10,1.439672e-07,3.539000e+06,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True
