Row,init_loss,z_i,kap_i,v_i,p_M_i,E_Hb_i,E_Hp_i,final_loss,z_f,kap_f,v_f,p_M_f,E_Hb_f,E_Hp_f,convergence,n_runs,n_iter,execution_time,error,error_message
Cacatua_ophthalmica,NaN,3.97168097569285,0.922256263409912,0.0325261727505319,420.088172778807,2074.307718018,78881.2726366711,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0.3628168,1,predict_filter
Dendrochirus_brachypterus,0.175744451851722,2.46305787490744,0.879261415418454,0.0408386677703943,73.371010074952,0.0927967614115069,3302.26050219781,0.157730705244185,2.55176954035482,0.864365039426642,0.0452053000171945,55.8064786378093,0.122956607404477,4010.85847675916,0,20,10000,394.9150126,0,
Euthynnus_alletteratus,0.00547406440434844,14.317729792811,0.889310332084709,0.0203869637312947,19.4245020222377,0.0894068721144714,192874.789720214,0.00526175344305005,14.317667441307,0.88869047507692,0.0204735153229337,19.2980951450187,0.0910206637618322,194718.985121104,0,2,1000,54.9396035,0,
Odocoileus_virginianus,0.215936966656133,33.4497268140435,0.832442890553514,0.19252980281054,27.6749815598869,4150669.73474539,63896486.496451,0.210865703119909,35.2887941996835,0.823441350008044,0.27275395903612,23.639254685498,4999583.27974317,70188529.4130666,0,16,8000,191.4755755,0,
Atheresthes_evermanni,0.158172558864172,3.59729766581108,0.599420278589263,0.0286391341918221,3958.07139903859,0.0916894704907156,761704.400804125,0.156760906136331,3.23531378144854,0.575807376399395,0.0259115255125545,5355.97111910202,0.0887134046084433,806501.585687305,0,5,2500,106.5914153,0,
Eucinostomus_gula,0.0370219382887997,3.00740958050959,0.950943100084413,0.024221,31.7546396262349,0.00850186583659541,972.725024822023,0.0280868024827228,3.20821675972271,0.94357186153356,0.024221,27.773907281023,0.0104029660632583,1103.23255620619,0,8,4000,433.726841,0,
Mycteria_leucocephala,NaN,4.40667154236552,0.94287658789353,0.0293794811714259,1087.0386902812,2670.19084082937,116914.838090347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0.4310565,1,predict_filter
Pseudunio_auricularius,0.301648046669523,2.69953328049028,0.962514487380568,0.00214997835545888,15.1211227676115,1.76103246169219e-06,935.95919787063,0.301148872365577,2.70470836294112,0.963265539247272,0.00216929345361812,15.2847801119632,1.76127491697817e-06,899.365335765248,1,2,597,69.519729,0,
Sarda_sarda,0.11668719200893,2.96528510436617,0.966874033850926,0.025476,10852.512516659,0.000954847723104929,37148.6364971877,0.116623075893062,2.96336862758307,0.966871094265774,0.025476,10867.8529405428,0.000955040025587563,37185.8332029636,0,1,500,50.7082341,0,
Scomber_colias,0.10527922429619,3.99511852012579,0.895107995148465,0.0188100005113897,299.782006136492,0.0229358530152908,17290.1486596812,0.104223838156316,3.99817181402888,0.895871849992045,0.0187150552692841,299.266527960575,0.022891401241622,17548.8351519492,0,2,1000,83.4669678,0,
Carcharodon_carcharias,0.124190869615459,21.2979173748444,0.909152296607758,0.022607,1520.11345208024,2285664.10349297,251677685.083176,0.124190868565032,21.2969282796477,0.909142556050376,0.022607,1520.36755988456,2286184.22549029,251736577.812598,0,1,500,28.4741416,0,
Perna_canaliculus,NaN,0.236673090667069,0.794520843180257,0.00778418552589141,24.3818555836241,5.4587057956697e-05,294.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,1.7685744,1,predict_filter
Saxicola_rubicola,0.473324068522013,1.13216034179689,0.935437684289643,0.0255115491029937,1283.18884026411,494.407191677965,10875.5950223343,0.103471017587634,1.05979595362658,0.951799909266644,0.024363230726461,1614.60864574173,273.4523675188,14425.3643621311,0,11,5500,536.7322127,0,
