species,ab,ap,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,weaning,foetus,p_Am,kap,v,p_M,h_a,E_Hb,E_Hp,Wwj,E_Hj,Wwx,E_Hx,class_other,class_Actinopterygii,class_Aves,class_Mammalia,class_Reptilia,class_Amphibia,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Trygonoptera_personata,2.788574e+02,1.213508e+03,4.854030e+03,2.000000e-01,7.560000e+01,5.323062e+02,1.316010e+03,3.955476e-03,2.951500e+02,False,False,False,1.860524e+02,8.256000e-01,2.803300e-02,1.886690e+01,3.611000e-09,4.066000e+04,3.525000e+05,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
Siren_lacertina,7.237107e+01,9.528857e+02,1.100643e+04,2.800000e-01,4.487916e-03,1.420000e+01,1.000000e+03,3.179958e+00,2.911500e+02,False,False,False,3.865523e+02,9.531000e-01,1.211300e-02,6.451790e+01,4.651000e-09,1.150000e+00,1.781000e+03,,,,,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
Paralaudakia_stoliczkana,3.981993e+01,1.424037e+03,2.491590e+03,3.000000e-01,4.816587e-01,2.642957e+01,6.930000e+01,5.418227e-02,2.961500e+02,False,False,False,8.997457e+01,6.895500e-01,4.736800e-02,1.637380e+01,4.199000e-09,1.513000e+03,1.026000e+05,,,,,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
Anaxyrus_americanus,2.097296e+01,1.779170e+03,2.109836e+04,2.800000e-01,4.200000e-03,1.312200e+02,1.200000e+02,1.365035e+01,2.881500e+02,False,False,False,6.666641e+02,7.981000e-01,1.752800e-01,1.264292e+02,1.867000e-10,4.977000e+00,5.465000e+05,1.800000e-01,2.218000e+02,,,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True
Speleomantes_ambrosii,6.558538e+02,3.402913e+03,1.334286e+04,2.800000e-01,8.710000e-02,6.041295e+00,1.330000e+01,1.274090e-02,2.881500e+02,False,False,False,9.605330e+01,8.267100e-01,9.771800e-03,4.562380e+01,3.166000e-08,6.180000e+01,2.705000e+03,,,,,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True
Solea_solea,1.396972e+01,1.644411e+03,1.657159e+04,2.000000e-01,4.598000e-04,1.730000e+02,1.109700e+03,1.733463e+03,2.861500e+02,True,False,False,2.896690e+02,7.823900e-01,7.282600e-02,3.419550e+01,2.529000e-09,3.588000e-01,1.954000e+05,9.000000e-03,6.730000e+00,,,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
Cetorhinus_maximus,2.885827e+03,1.937627e+04,4.122610e+04,2.000000e-01,2.219354e+04,2.625000e+06,4.650000e+06,1.819236e-03,2.846500e+02,False,False,False,6.104264e+03,9.244500e-01,5.098800e-02,9.752900e+01,9.578000e-09,9.466000e+05,2.725000e+08,,,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
Macrothrix_triserialis,8.295022e-01,2.160254e+00,9.758849e+00,1.700000e-01,1.002573e-05,2.262472e-05,3.588235e-05,4.627379e+00,3.021500e+02,False,False,False,1.208741e+02,4.651000e-01,2.409600e-02,2.251172e+03,3.601000e-05,1.709000e-02,1.278000e-01,,,,,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
Heteronotia_binoei,2.779566e+01,4.984386e+01,5.475000e+03,3.000000e-01,1.697625e-01,1.938401e+00,4.323691e+00,4.804153e-02,2.991500e+02,False,False,False,4.636495e+01,8.973300e-01,7.429100e-03,3.299600e+01,4.414000e-09,1.011000e+02,1.126000e+03,,,,,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
Podocnemis_expansa,2.336503e+01,1.085676e+03,4.886631e+03,3.000000e-01,9.183351e+00,6.473978e+03,9.000000e+04,5.177391e-01,3.001500e+02,False,False,False,5.305070e+02,9.204600e-01,4.709400e-02,1.478000e+01,5.629000e-10,8.845000e+03,1.332000e+07,,,,,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True
