Row,data_split,deb_loss,success,error_type,error_message
Schilbe_uranoscopus,test,2.0259464601878,1,,
Siganus_luridus,test,4.0374540837087,1,,
Sillago_vittata,test,2.16789923614313,1,,
Silurus_triostegus,test,0.338355149941087,1,,
Squatina_californica,test,1.53340108405647,1,,
Stegastes_acapulcoensis,test,4.9411221521215,1,,
Stegastes_flavilatus,test,0.669415115290021,1,,
Stigmatogobius_pleurostigma,test,1.82890087974912,1,,
Stolephorus_carpentariae,test,4.29710583806026,1,,
Stolephorus_commersonnii,test,1.01322985031179,1,,
Stolephorus_waitei,test,0.598673491961152,1,,
Terrapene_carolina,test,1.4109803035159,1,,
Torpedo_marmorata,test,60.8788915517837,1,,
Trachurus_murphyi,test,0.49961757878137,1,,
Triakis_scyllium,test,0.317785572628231,1,,
Trichiurus_lepturus,test,0.486270429933074,1,,
Trygonoptera_mucosa,test,0.0593293191475056,1,,
Urobatis_halleri,test,0.169495933888354,1,,
Zapteryx_brevirostris,test,0.327115739475396,1,,
