species,Wwi,d_V,genus,family,order,class,phylum,kap,v,s_p_M,E_Hb,E_Hj,E_Hp,k_J,s_M,p_M,metamorphosis,estim_p_M,estim_v,estim_kap,estim_k_J,estim_E_Hb,estim_E_Hj,estim_E_Hp,estim_s_M,estim_s_p_M,estim_p_Am
Pelophylax_porosus,6.2500000000e+01,2.8000000000e-01,Pelophylax,Ranidae,Anura,Amphibia,Chordata,6.7405006513e-01,4.5830582585e-02,1.5443482171e-01,7.3341596693e+00,4.3412709960e+03,7.7385195758e+04,2.0000000000e-03,1.0000000000e+00,6.9315072867e+01,False,True,True,True,False,True,True,True,True,True,True
Gnathanodon_speciosus,1.8806000000e+04,2.0000000000e-01,Gnathanodon,Carangidae,Carangiformes,Actinopterygii,Chordata,9.9076299454e-01,2.3579477829e-02,8.7558240498e-03,9.8245897365e-03,1.0445440862e-01,1.0633511466e+04,1.0912206125e-03,2.1957875402e+00,1.9761117532e+01,True,True,True,True,True,True,True,True,True,True,True
Petrogale_xanthopus,7.0000000000e+03,3.0000000000e-01,Petrogale,Macropodidae,Diprotodontia,Mammalia,Chordata,7.2472657645e-01,3.8543292473e-02,4.7905339634e-01,4.6179390045e+02,4.6179390050e+02,6.8320639933e+06,2.0000000000e-03,1.0000000000e+00,3.3730358977e+01,False,True,True,True,False,True,False,True,True,True,True
Otus_senegalensis,8.9000000000e+01,2.8000000000e-01,Otus,Strigidae,Strigiformes,Aves,Chordata,8.9923164291e-01,2.8584747243e-02,8.1241321410e-01,1.5315337972e+03,1.5315337974e+03,2.0920541290e+04,2.7237382145e-02,1.0000000000e+00,6.6340334837e+02,False,True,True,True,True,True,False,True,True,True,True
Amia_calva,3.8000000000e+03,2.0000000000e-01,Amia,Amiidae,Amiiformes,Actinopterygii,Chordata,5.6738093624e-01,2.5084535715e-02,9.1386083343e-02,4.9696833404e+00,4.9696833409e+00,1.3587319110e+06,2.0000000000e-03,1.0000000000e+00,1.6476501644e+02,False,True,True,True,False,True,False,True,True,True,True
Selar_crumenophthalmus,4.2500000000e+03,2.0000000000e-01,Selar,Carangidae,Carangiformes,Actinopterygii,Chordata,9.9418385747e-01,2.8761000000e-02,5.3693971371e-03,2.4393224929e-03,1.9836869684e-02,9.4282453052e+02,2.0000000000e-03,2.0077996598e+00,3.7886433548e+01,True,True,False,True,False,True,True,True,True,True,True
Menticirrhus_americanus,1.3570000000e+03,2.0000000000e-01,Menticirrhus,Sciaenidae,Sciaeniformes,Actinopterygii,Chordata,8.8361101665e-01,2.0521676868e-02,2.8887744677e-02,1.2266125470e-01,8.7115145614e-01,2.5732254673e+04,2.0000000000e-03,1.9190772636e+00,2.1254550100e+01,True,True,True,True,False,True,True,True,True,True,True
Regulus_ignicapillus,1.0000000000e+01,2.8000000000e-01,Regulus,Regulidae,Passeriformes,Aves,Chordata,7.8749906324e-01,2.1521782801e-02,7.5524016586e-01,4.1356455118e+02,4.1356455123e+02,7.3387505246e+03,2.2717099039e-02,1.0000000000e+00,5.5316371190e+02,False,True,True,True,True,True,False,True,True,True,True
Eopsaltria_georgiana,1.7500000000e+01,2.8000000000e-01,Eopsaltria,Petroicidae,Passeriformes,Aves,Chordata,9.4032829336e-01,2.6305879838e-02,8.2782480032e-01,1.8454883137e+02,1.8454883138e+02,2.0261718695e+03,5.7437120776e-02,1.0000000000e+00,1.4049161839e+03,False,True,True,True,True,True,False,True,True,True,True
Tetrao_urogallus,1.9850000000e+03,2.8000000000e-01,Tetrao,Phasianidae,Galliformes,Aves,Chordata,9.7864941378e-01,4.9440000000e-02,6.5317844642e-01,8.7407133945e+02,8.7407133954e+02,4.6580829637e+04,3.7689738390e-02,1.0000000000e+00,9.2032260000e+02,False,False,False,True,True,True,False,True,True,True,True
Butorides_virescens,1.8400000000e+02,2.8000000000e-01,Butorides,Ardeidae,Pelecaniformes,Aves,Chordata,8.7475662539e-01,2.6769150955e-02,8.9481980180e-01,2.1784483274e+03,2.1784483276e+03,3.5025227820e+04,4.3774743410e-02,1.0000000000e+00,1.0709815140e+03,False,True,True,True,True,True,False,True,True,True,True
Premnoplex_brunnescens,2.5000000000e+01,2.8000000000e-01,Premnoplex,Furnariidae,Passeriformes,Aves,Chordata,9.6621528216e-01,4.0090880635e-02,1.2012549639e-01,5.0408614873e+02,5.0408614878e+02,2.1042158051e+03,8.2766463961e-04,1.0000000000e+00,2.0190986787e+01,False,True,True,True,True,True,False,True,True,True,True
Ramazzottius_oberhaeuseri,5.1900000000e-06,7.0000000000e-02,Ramazzottius,Hypsibiidae,Parachela,Eutardigrada,Tardigrada,9.7641521416e-01,1.1359187779e-03,1.9273439578e-03,1.5332646779e-06,6.1441757515e-06,1.6477858430e-05,2.0000000000e-03,1.4592382506e+00,3.8032014006e+02,True,True,True,True,False,True,True,True,True,True,True
Anthobaphes_violacea,8.8000000000e+00,2.8000000000e-01,Anthobaphes,Nectariniidae,Passeriformes,Aves,Chordata,9.5893981370e-01,2.9908612680e-02,8.6316676196e-01,1.3546388805e+02,1.3546388806e+02,1.9576978947e+03,1.8306907416e-02,1.0000000000e+00,4.4802021205e+02,False,True,True,True,True,True,False,True,True,True,True
Loxodonta_africana,4.8000000000e+06,3.0000000000e-01,Loxodonta,Elephantidae,Proboscidea,Mammalia,Chordata,9.6654185969e-01,2.1380303371e-02,5.1369526454e-01,5.2923861677e+06,5.2923861682e+06,2.1124232653e+08,6.2399065401e-04,1.0000000000e+00,1.6227969048e+01,False,True,True,True,True,True,False,True,True,True,True
Hypopyrrhus_pyrohypogaster,8.0000000000e+01,2.8000000000e-01,Hypopyrrhus,Icteridae,Passeriformes,Aves,Chordata,9.6169703558e-01,3.4880658310e-02,7.6270892401e-01,3.9629004667e+02,3.9629004671e+02,6.7560508898e+03,3.3161814817e-02,1.0000000000e+00,8.0960394397e+02,False,True,True,True,True,True,False,True,True,True,True
Oxyurella_longicaudis,3.8000000000e-05,1.7000000000e-01,Oxyurella,Chydoridae,Anomopoda,Branchiopoda,Arthropoda,6.3599254350e-01,2.0768268410e-02,5.5741571705e-03,9.8550653861e-03,9.8550653871e-03,3.9540241533e-02,2.0000000000e-03,1.0000000000e+00,1.0286562915e+03,False,True,True,True,False,True,False,True,True,True,True
Actinonaias_ligamentina,1.0170000000e+03,9.0000000000e-02,Actinonaias,Unionidae,Unionoida,Bivalvia,Mollusca,9.8364600347e-01,5.7535412018e-03,1.5034674084e-02,4.2918789006e-06,4.2918799721e-06,6.1526691003e+01,2.0000000000e-03,1.0000000831e+00,1.3218548707e+01,True,True,True,True,False,True,True,True,True,True,True
Nymphicus_hollandicus,8.6500000000e+01,2.8000000000e-01,Nymphicus,Cacatuidae,Psittaciformes,Aves,Chordata,9.3440844875e-01,2.7039327014e-02,8.4351018650e-01,5.9399117108e+02,5.9399117114e+02,1.6402023206e+04,1.9940080207e-02,1.0000000000e+00,4.8612671374e+02,False,True,True,True,True,True,False,True,True,True,True
Anthus_spinoletta,2.0000000000e+01,2.8000000000e-01,Anthus,Motacillidae,Passeriformes,Aves,Chordata,9.2378692161e-01,2.4449837422e-02,8.4731505860e-01,2.1985977117e+02,2.1985977119e+02,1.7164676808e+03,1.1291371388e-01,1.0000000000e+00,2.7606850544e+03,False,True,True,True,True,True,False,True,True,True,True
Rhizoprionodon_oligolinx,2.8500000000e+03,2.0000000000e-01,Rhizoprionodon,Carcharhinidae,Carcharhiniformes,Chondrichthyes,Chordata,8.8490800744e-01,2.8732000000e-02,1.0681364983e-01,2.1584339257e+04,2.1584339259e+04,1.3741551745e+05,2.0000000000e-03,1.0000000000e+00,1.7930759639e+01,False,True,False,True,False,True,False,True,True,True,True
Hypotaenidia_owstoni,2.1700000000e+02,2.8000000000e-01,Hypotaenidia,Rallidae,Gruiformes,Aves,Chordata,9.1784233189e-01,2.8833000000e-02,8.0125956771e-01,9.5249350011e+02,9.5249350020e+02,1.6607210212e+04,7.1718570394e-02,1.0000000000e+00,1.7506398466e+03,False,True,False,True,True,True,False,True,True,True,True
