species,Wwi,d_V,genus,family,order,class,phylum,kap,v,s_p_M,E_Hb,E_Hj,E_Hp,k_J,s_M,p_M,metamorphosis,estim_p_M,estim_v,estim_kap,estim_k_J,estim_E_Hb,estim_E_Hj,estim_E_Hp,estim_s_M,estim_s_p_M,estim_p_Am
Ichthyophis_kohtaoensis,3.5600000000e+02,2.8000000000e-01,Ichthyophis,Ichthyophiidae,Gymnophiona,Amphibia,Chordata,7.1424172712e-01,2.6055932393e-02,1.0148396812e-01,2.6055874007e+03,3.0727980820e+04,8.0950814697e+04,2.0000000000e-03,1.0000000000e+00,2.1011838423e+01,False,True,True,True,False,True,True,True,True,True,True
Copsychus_malabaricus,2.6700000000e+01,2.8000000000e-01,Copsychus,Muscicapidae,Passeriformes,Aves,Chordata,8.9717201748e-01,2.4670139383e-02,8.1472919865e-01,3.1244569331e+02,3.1244569334e+02,3.0889269160e+03,9.8826713277e-02,1.0000000000e+00,2.4047684347e+03,False,True,True,True,True,True,False,True,True,True,True
Protonibea_diacanthus,5.2200000000e+04,2.0000000000e-01,Protonibea,Sciaenidae,Sciaeniformes,Actinopterygii,Chordata,9.5365933322e-01,2.5330000000e-02,1.1523671870e-01,1.6299274677e-02,1.1279069368e-01,8.2390896344e+05,2.0000000000e-03,1.9049087129e+00,1.7645508252e+01,True,True,False,True,False,True,True,True,True,True,True
Mustelus_canis,1.3600000000e+04,2.0000000000e-01,Mustelus,Triakidae,Carcharhiniformes,Chondrichthyes,Chordata,6.4108187473e-01,3.0026449500e-02,1.8530817999e-01,1.6504333753e+05,1.6504333754e+05,3.5999516700e+06,2.0000000000e-03,1.0000000000e+00,2.6404997574e+01,False,True,True,True,False,True,False,True,True,True,True
Calidris_maritima,9.0000000000e+01,2.8000000000e-01,Calidris,Scolopacidae,Charadriiformes,Aves,Chordata,8.2401620858e-01,7.6266063786e-02,9.4510707776e-01,5.0928823189e+03,5.0928823194e+03,9.6247899567e+04,2.2334000000e-02,1.0000000000e+00,5.4911116797e+02,False,True,True,True,False,True,False,True,True,True,True
Latonopsis_australis,3.1176470588e-04,1.7000000000e-01,Latonopsis,Sididae,Ctenopoda,Branchiopoda,Arthropoda,6.8327589210e-01,2.0324889369e-02,1.4974877944e-03,1.0621425698e-02,1.0621425699e-02,8.7824851710e-02,2.0000000000e-03,1.0000000000e+00,2.5994117898e+03,False,True,True,True,False,True,False,True,True,True,True
Myliobatis_californica,6.3400000000e+04,2.0000000000e-01,Myliobatis,Myliobatidae,Myliobatiformes,Chondrichthyes,Chordata,8.3753975260e-01,3.1234514119e-02,6.7031580818e-02,6.2179331894e+04,6.2179331900e+04,1.6054779941e+06,2.0000000000e-03,1.0000000000e+00,1.8501094225e+01,False,True,True,True,False,True,False,True,True,True,True
Turdus_viscivorus,1.1750000000e+02,2.8000000000e-01,Turdus,Turdidae,Passeriformes,Aves,Chordata,9.5780502419e-01,2.3208183426e-02,7.5657454553e-01,1.3374407838e+02,1.3374407840e+02,2.2648520464e+03,1.7168409178e-01,1.0000000000e+00,4.1958915015e+03,False,True,True,True,True,True,False,True,True,True,True
Balaenoptera_acutorostrata,9.2000000000e+06,3.0000000000e-01,Balaenoptera,Balaenopteridae,Cetartiodactyla,Mammalia,Chordata,8.2937114972e-01,1.0895374150e-01,7.2931413245e-01,1.1999688843e+08,1.1999688844e+08,2.6275048837e+09,2.0000000000e-03,1.0000000000e+00,1.7795168974e+01,False,True,True,True,False,True,False,True,True,True,True
Ctenophorus_adelaidensis,5.4000000000e+00,3.0000000000e-01,Ctenophorus,Agamidae,Squamata,Reptilia,Chordata,9.0838276349e-01,1.7183334547e-02,1.1078413147e-01,2.4763693810e+02,2.4763693813e+02,2.5717153588e+03,2.0000000000e-03,1.0000000000e+00,1.5776384155e+02,False,True,True,True,False,True,False,True,True,True,True
Parvaspina_collina,1.2900000000e+01,9.0000000000e-02,Parvaspina,Unionidae,Unionoida,Bivalvia,Mollusca,9.9911558629e-01,1.2643798452e-02,3.6238786350e-02,3.4627105403e-07,3.4627105447e-07,1.7712572641e+00,1.4221312075e-03,1.0000000004e+00,1.0830475713e+01,True,True,True,True,True,True,True,True,True,True,True
Tylosurus_crocodilus,6.3000000000e+03,2.0000000000e-01,Tylosurus,Belonidae,Beloniformes,Actinopterygii,Chordata,9.9686827098e-01,2.0363205581e-02,8.5964597648e-03,2.9953680572e-03,1.0961289292e-02,1.4975774310e+03,2.0000000000e-03,1.5405361855e+00,1.4340250276e+01,True,True,True,True,False,True,True,True,True,True,True
Orectolobus_halei,1.2700000000e+05,2.0000000000e-01,Orectolobus,Orectolobidae,Orectolobiformes,Chondrichthyes,Chordata,5.6951636116e-01,2.4879608953e-02,3.4953899170e-02,8.5198575983e+04,8.5198575991e+04,3.8789597009e+06,2.0000000000e-03,1.0000000000e+00,1.9300230043e+01,False,True,True,True,False,True,False,True,True,True,True
Sillago_burrus,5.1020000000e+02,2.0000000000e-01,Sillago,Sillaginidae,Spariformes,Actinopterygii,Chordata,9.7959898159e-01,2.5993860695e-02,2.3292750215e-02,9.2176753931e-03,4.0123695672e-01,2.3638624296e+03,2.9395931358e-03,3.5015449158e+00,5.1309168232e+01,True,True,True,True,True,True,True,True,True,True,True
Speleomantes_ambrosii,1.3300000000e+01,2.8000000000e-01,Speleomantes,Plethodontidae,Caudata,Amphibia,Chordata,8.2670967933e-01,9.7719096308e-03,1.0730351740e-01,6.1797637621e+01,6.1797637628e+01,2.7054670800e+03,2.0000000000e-03,1.0000000000e+00,4.5623040807e+01,False,True,True,True,False,True,False,True,True,True,True
Amandava_subflava,7.3000000000e+00,2.8000000000e-01,Amandava,Estrildidae,Passeriformes,Aves,Chordata,9.3771538793e-01,2.7246337189e-02,8.2938989250e-01,1.1296624125e+02,1.1296624126e+02,2.2869634630e+03,1.8862033676e-02,1.0000000000e+00,4.6377423711e+02,False,True,True,True,True,True,False,True,True,True,True
Phoenicopterus_ruber,2.2000000000e+03,2.8000000000e-01,Phoenicopterus,Phoenicopteridae,Phoenicopteriformes,Aves,Chordata,9.9220786854e-01,9.4855205778e-02,4.4473799694e-02,3.9963254446e+03,3.9963254450e+03,1.2233093244e+04,1.2374363190e-03,1.0000000000e+00,3.0144028022e+01,False,True,True,True,True,True,False,True,True,True,True
Pelobates_fuscus,3.4000000000e+01,2.8000000000e-01,Pelobates,Pelobatidae,Anura,Amphibia,Chordata,7.5282364401e-01,1.2023231586e-01,2.3267971055e-01,4.9415305135e+00,8.2197346955e+03,3.9205323658e+04,2.0000000000e-03,1.0000000000e+00,3.8859197893e+01,False,True,True,True,False,True,True,True,True,True,True
Zanda_latirostris,7.8000000000e+02,2.8000000000e-01,Zanda,Cacatuidae,Psittaciformes,Aves,Chordata,7.3826688538e-01,2.7517573501e-02,9.8067889842e-01,9.9646924521e+03,9.9646924531e+03,3.9214934530e+05,2.2503257069e-02,1.0000000000e+00,5.4618903554e+02,False,True,True,True,True,True,False,True,True,True,True
Charadrius_vociferus,1.2100000000e+02,2.8000000000e-01,Charadrius,Charadriidae,Charadriiformes,Aves,Chordata,9.4570697442e-01,2.3446781583e-02,7.0004390602e-01,8.0284849587e+02,8.0284849595e+02,1.0956749701e+04,2.5742587378e-02,1.0000000000e+00,6.2813902417e+02,False,True,True,True,True,True,False,True,True,True,True
Anthus_hellmayri,1.8750000000e+01,2.8000000000e-01,Anthus,Motacillidae,Passeriformes,Aves,Chordata,9.6006456564e-01,2.4989813924e-02,7.7567947256e-01,9.8669688196e+01,9.8669688206e+01,1.0708916968e+03,7.4577492217e-02,1.0000000000e+00,1.8288424498e+03,False,True,True,True,True,True,False,True,True,True,True
Eudocimus_albus,7.6400000000e+02,2.8000000000e-01,Eudocimus,Threskiornithidae,Pelecaniformes,Aves,Chordata,9.4851026700e-01,3.3660324450e-02,8.6134850572e-01,1.6502558952e+03,1.6502558954e+03,3.8748354834e+04,5.5992151725e-02,1.0000000000e+00,1.3738531157e+03,False,True,True,True,True,True,False,True,True,True,True
Centroscymnus_coelolepis,1.2250000000e+04,2.0000000000e-01,Centroscymnus,Somniosidae,Squaliformes,Chondrichthyes,Chordata,5.0997508012e-01,8.6226447624e-02,3.9480449042e-01,2.7037310499e+05,2.7037310502e+05,2.0680359691e+07,2.0000000000e-03,1.0000000000e+00,2.5578350437e+01,False,True,True,True,False,True,False,True,True,True,True
Neodraco_skottsbergi,1.2400000000e+01,2.0000000000e-01,Neodraco,Artedidraconidae,Perciformes,Actinopterygii,Chordata,4.9015244597e-01,2.3952904519e-02,3.1898892035e-01,4.1125625174e+01,1.2745825631e+02,4.0488772308e+04,2.0000000000e-03,1.4282303477e+00,3.6514526259e+01,True,True,True,True,False,True,True,True,True,True,True
Selaroides_leptolepis,1.2400000000e+02,2.0000000000e-01,Selaroides,Carangidae,Carangiformes,Actinopterygii,Chordata,8.3879324184e-01,2.0698658408e-02,1.4044962370e-01,4.0320580360e-01,2.1164432581e+01,2.6313383531e+04,2.0000000000e-03,3.7135698104e+00,2.0729964022e+01,True,True,True,True,False,True,True,True,True,True,True
Rallus_limicola,7.0000000000e+01,2.8000000000e-01,Rallus,Rallidae,Gruiformes,Aves,Chordata,8.3297767098e-01,2.7197871656e-02,8.2634842436e-01,1.5751352103e+03,1.5751352104e+03,2.3100540748e+04,3.7755982757e-02,1.0000000000e+00,9.2159332353e+02,False,True,True,True,True,True,False,True,True,True,True
Chlidonias_hybrida,1.0000000000e+02,2.8000000000e-01,Chlidonias,Laridae,Charadriiformes,Aves,Chordata,4.0116676277e-01,4.4638210951e-02,9.9217728284e-01,5.6396539292e+03,5.6396539298e+03,5.5805493745e+04,3.1853148144e-01,1.0000000000e+00,8.0504352677e+03,False,True,True,True,True,True,False,True,True,True,True
Rissa_tridactyla,4.9000000000e+02,2.8000000000e-01,Rissa,Laridae,Charadriiformes,Aves,Chordata,9.6143351606e-01,2.6278199550e-02,8.1883299199e-01,1.0418715576e+03,1.0418715577e+03,1.6465260257e+04,5.5873262340e-02,1.0000000000e+00,1.3673989365e+03,False,True,True,True,True,True,False,True,True,True,True
Elliptio_arca,4.5500000000e+01,9.0000000000e-02,Elliptio,Unionidae,Unionoida,Bivalvia,Mollusca,9.9629761503e-01,1.8792713457e-02,4.6390681886e-02,2.4852448066e-06,3.2352839183e-06,2.7327310963e+01,2.0000000000e-03,1.0917776048e+00,1.3198052145e+01,True,True,True,True,False,True,True,True,True,True,True
Cynoglossus_senegalensis,1.7700000000e+03,2.0000000000e-01,Cynoglossus,Cynoglossidae,Pleuronectiformes,Actinopterygii,Chordata,7.0471360268e-01,1.3953947324e-02,5.9937060765e-02,3.2442448822e-01,3.2442449056e-01,1.1995915909e+05,2.0000000000e-03,1.0000000024e+00,2.6970953336e+01,True,True,True,True,False,True,True,True,True,True,True
Pelagodroma_marina,6.0000000000e+01,2.8000000000e-01,Pelagodroma,Oceanitidae,Procellariiformes,Aves,Chordata,9.6009650162e-01,2.8317535272e-02,3.0656592498e-01,1.6681393620e+03,1.6681393622e+03,1.3432091283e+04,8.0173817347e-04,1.0000000000e+00,1.9560029599e+01,False,True,True,True,True,True,False,True,True,True,True
Creagrus_furcatus,6.8700000000e+02,2.8000000000e-01,Creagrus,Laridae,Charadriiformes,Aves,Chordata,8.8201613109e-01,3.6268120307e-02,9.4671915974e-01,1.4553929765e+04,1.4553929767e+04,2.0955226382e+05,1.9710939258e-02,1.0000000000e+00,4.8527183730e+02,False,True,True,True,True,True,False,True,True,True,True
Ruditapes_philippinarum,1.0888888889e+01,9.0000000000e-02,Ruditapes,Veneridae,Veneroida,Bivalvia,Mollusca,9.9163743242e-01,5.8211821696e-03,2.5023027083e-02,4.4946033529e-07,1.3426622178e-04,1.0033413082e+01,2.0000000000e-03,6.6750058907e+00,1.1107907289e+01,True,True,True,True,False,True,True,True,True,True,True
Aphelocoma_coerulescens,8.0200000000e+01,2.8000000000e-01,Aphelocoma,Corvidae,Passeriformes,Aves,Chordata,9.2610774982e-01,2.7314670476e-02,8.9868232451e-01,4.6912304999e+02,4.6912305003e+02,1.2193019982e+04,3.6801627203e-02,1.0000000000e+00,9.0216914714e+02,False,True,True,True,True,True,False,True,True,True,True
Morone_mississippiensis,1.3800000000e+03,2.0000000000e-01,Morone,Moronidae,Moroniformes,Actinopterygii,Chordata,8.8333033882e-01,3.7315736068e-02,5.4165138666e-02,1.4251825550e-01,1.4251825551e-01,3.7811455912e+04,2.0000000000e-03,1.0000000000e+00,1.3839348121e+01,True,True,True,True,False,True,True,True,True,True,True
Acanthis_hornemanni,1.2700000000e+01,2.8000000000e-01,Acanthis,Fringillidae,Passeriformes,Aves,Chordata,9.2202312719e-01,2.7040333002e-02,8.8827486689e-01,1.4306063843e+02,1.4306063844e+02,1.6755704187e+03,8.9091595306e-02,1.0000000000e+00,2.1849350764e+03,False,True,True,True,True,True,False,True,True,True,True
Casuarius_bennetti,3.5000000000e+04,2.8000000000e-01,Casuarius,Casuariidae,Casuariiformes,Aves,Chordata,9.7979949328e-01,2.1592127031e-02,5.5812302280e-01,1.5973344151e+03,1.5973344152e+03,1.0646026069e+05,7.0286077240e-02,1.0000000000e+00,1.7152877200e+03,False,True,True,True,True,True,False,True,True,True,True
Rhombosolea_leporina,1.1000000000e+03,2.0000000000e-01,Rhombosolea,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata,4.8869152659e-01,3.4783627057e-02,1.6296170826e-02,1.0201248727e+00,8.5592627738e+00,1.1797134988e+05,2.0000000000e-03,2.0271252358e+00,2.9613100068e+01,True,True,True,True,False,True,True,True,True,True,True
Grampus_griseus,4.2500000000e+05,3.0000000000e-01,Grampus,Delphinidae,Cetartiodactyla,Mammalia,Chordata,8.2372325033e-01,2.1676980761e-02,8.2694773170e-01,4.8775190150e+06,4.8775190155e+06,1.2951338073e+08,2.0000000000e-03,1.0000000000e+00,3.9796549022e+01,False,True,True,True,False,True,False,True,True,True,True
Calidris_alpina,4.8600000000e+01,2.8000000000e-01,Calidris,Scolopacidae,Charadriiformes,Aves,Chordata,8.9368196606e-01,2.1065868392e-02,7.9374156055e-01,5.9691846631e+02,5.9691846637e+02,2.8049293875e+03,1.8477414400e-01,1.0000000000e+00,4.5143667836e+03,False,True,True,True,True,True,False,True,True,True,True
Plectropomus_leopardus,2.5200000000e+04,2.0000000000e-01,Plectropomus,Serranidae,Perciformes,Actinopterygii,Chordata,9.9348548427e-01,1.8119520733e-02,1.3259467329e-02,3.2913389344e-03,2.5971482172e-02,1.3499731608e+04,8.3322439729e-04,1.9890303408e+00,1.4539926174e+01,True,True,True,True,True,True,True,True,True,True,True
Turdus_merula,1.0000000000e+02,2.8000000000e-01,Turdus,Turdidae,Passeriformes,Aves,Chordata,9.7062912525e-01,2.6101793960e-02,7.4481989354e-01,1.9202575954e+01,1.9202575956e+01,4.1742242074e+02,6.7219878446e-01,1.0000000000e+00,4.9542239580e+03,False,True,True,True,True,True,False,True,True,True,True
Lota_lota,3.4000000000e+04,2.0000000000e-01,Lota,Lotidae,Gadiformes,Actinopterygii,Chordata,9.4051490368e-01,1.9466693510e-02,3.5127723792e-03,2.6765212382e-02,3.4260983104e-01,3.8345955918e+04,2.0000000000e-03,2.3314179645e+00,8.5628012227e+01,True,True,True,True,False,True,True,True,True,True,True
Sardinella_melanura,9.7400000000e+01,2.0000000000e-01,Sardinella,Dorosomatidae,Clupeiformes,Actinopterygii,Chordata,9.6480644050e-01,2.1228655895e-02,1.7330486729e-01,2.0231841545e-02,2.6190448519e-02,3.3828881537e+03,2.0000000000e-03,1.0894412205e+00,1.8726679231e+01,True,True,True,True,False,True,True,True,True,True,True
Campylorhynchus_brunneicapillus,3.8500000000e+01,2.8000000000e-01,Campylorhynchus,Troglodytidae,Passeriformes,Aves,Chordata,7.3786434923e-01,2.8688879235e-02,8.5861746106e-01,1.8374730432e+03,1.8374730434e+03,2.9074323415e+04,3.1738867281e-02,1.0000000000e+00,7.7942740696e+02,False,True,True,True,True,True,False,True,True,True,True
Megalonaias_nervosa,1.6900000000e+02,9.0000000000e-02,Megalonaias,Unionidae,Unionoida,Bivalvia,Mollusca,9.9734647796e-01,1.6806375705e-02,3.0043605377e-02,3.9908835434e-07,3.9908852960e-07,5.0635089809e+01,1.0049040790e-03,1.0000001463e+00,7.5327101021e+00,True,True,True,True,True,True,True,True,True,True,True
Styela_plicata,6.0000000000e+01,6.0000000000e-02,Styela,Styelidae,Stolidobranchia,Ascidiacea,Chordata,9.0000000000e-01,3.3686914806e-02,3.5954684508e-03,7.3139145366e-05,7.3139145374e-05,5.3772061470e+02,2.0000000000e-03,1.0000000000e+00,3.5129375508e+03,False,True,True,False,False,True,False,True,True,True,True
Cyprinodon_elegans,3.8200000000e+00,2.0000000000e-01,Cyprinodon,Cyprinodontidae,Cyprinodontiformes,Actinopterygii,Chordata,9.6258191625e-01,5.7563747752e-02,2.0046030404e-02,7.7698362191e-02,7.7698845209e-02,7.2230709959e+01,2.0000000000e-03,1.0000019969e+00,6.6398669016e+01,True,True,True,True,False,True,True,True,True,True,True
Cervus_canadensis,2.3300000000e+05,3.0000000000e-01,Cervus,Cervidae,Cetartiodactyla,Mammalia,Chordata,7.1861462688e-01,6.4176433986e-02,8.1012441598e-01,1.9160624960e+07,1.9160624962e+07,4.4889948918e+08,1.0681101253e-03,1.0000000000e+00,2.7794129324e+01,False,True,True,True,True,True,False,True,True,True,True
Hemiramphus_convexus,6.8300000000e+01,2.0000000000e-01,Hemiramphus,Hemiramphidae ,Beloniformes,Actinopterygii,Chordata,9.9133494881e-01,2.6884000000e-02,1.3612699566e-01,4.7319266688e-03,4.7319266693e-03,6.2708852261e+02,2.0000000000e-03,1.0000000000e+00,2.7228646351e+01,False,True,False,True,False,True,False,True,True,True,True
Progne_chalybea,4.2000000000e+01,2.8000000000e-01,Progne,Hirundinidae,Passeriformes,Aves,Chordata,9.5961577532e-01,3.0052965529e-02,8.4298133889e-01,2.1305961849e+02,2.1305961851e+02,5.1327463174e+03,2.6102907409e-02,1.0000000000e+00,6.4156397547e+02,False,True,True,True,True,True,False,True,True,True,True
Apodemus_sylvaticus,4.4000000000e+01,3.0000000000e-01,Apodemus,Muridae,Rodentia,Mammalia,Chordata,5.6363502668e-01,2.4636404128e-02,1.1455054146e-01,4.9697642296e+03,4.9697642301e+03,7.3612536850e+04,2.0000000000e-03,1.0000000000e+00,1.9205718507e+02,False,True,True,True,False,True,False,True,True,True,True
Obliquaria_reflexa,5.4000000000e+00,9.0000000000e-02,Obliquaria,Unionidae,Unionoida,Bivalvia,Mollusca,9.9627623137e-01,1.9120573361e-02,7.7031403502e-02,1.6391358534e-06,1.8607507613e-06,4.4428132062e+00,2.0000000000e-03,1.0431299524e+00,7.4019771319e+00,True,True,True,True,False,True,True,True,True,True,True
Pelecanus_occidentalis,2.8240000000e+03,2.8000000000e-01,Pelecanus,Pelecanidae,Pelecaniformes,Aves,Chordata,9.2821818951e-01,3.3358532263e-02,9.2299287290e-01,4.7372598664e+03,4.7372598669e+03,2.9617340348e+05,2.3429963509e-02,1.0000000000e+00,5.7572290053e+02,False,True,True,True,True,True,False,True,True,True,True
Huso_huso,3.2000000000e+06,2.0000000000e-01,Huso,Acipenseridae,Acipenseriformes,Actinopterygii,Chordata,4.3665922044e-01,1.5826172876e-02,1.0073979531e-02,1.6003777930e+01,1.6003777931e+01,2.8114674909e+07,9.2837600419e-04,1.0000000000e+00,1.6232474587e+01,False,True,True,True,True,True,False,True,True,True,True
Cypseloides_fumigatus,4.4000000000e+01,2.8000000000e-01,Cypseloides,Apodidae,Apodiformes,Aves,Chordata,9.1655102330e-01,2.6482209766e-02,8.9567938911e-01,1.3728752328e+03,1.3728752330e+03,2.0694174196e+04,9.4596457097e-03,1.0000000000e+00,2.2871995000e+02,False,True,True,True,True,True,False,True,True,True,True
Sillago_aeolus,1.9750000000e+02,2.0000000000e-01,Sillago,Sillaginidae,Spariformes,Actinopterygii,Chordata,9.2344635276e-01,2.2309523687e-02,3.1682813334e-02,4.4483582891e-02,1.4033752739e+00,6.0764468043e+03,1.6059293193e-03,3.1426781691e+00,2.7941415741e+01,True,True,True,True,True,True,True,True,True,True,True
Ammospiza_leconteii,1.3800000000e+01,2.8000000000e-01,Ammospiza,Passerellidae,Passeriformes,Aves,Chordata,9.3610548427e-01,2.2429407078e-02,6.8876678075e-01,1.0096292300e+02,1.0096292301e+02,6.3988920180e+02,1.6031415107e-01,1.0000000000e+00,3.9125626568e+03,False,True,True,True,True,True,False,True,True,True,True
Aerodramus_bartschi,8.2100000000e+00,2.8000000000e-01,Aerodramus,Apodidae,Apodiformes,Aves,Chordata,9.6130570615e-01,4.0851818294e-02,2.3061514043e-01,3.0575876065e+02,3.0575876068e+02,1.6183857134e+03,8.2193729115e-04,1.0000000000e+00,2.0049391173e+01,False,True,True,True,True,True,False,True,True,True,True
Lepidochelys_kempii,4.5000000000e+04,3.0000000000e-01,Lepidochelys,Cheloniidae,Testudines,Reptilia,Chordata,6.4955573775e-01,3.3519619295e-02,6.2925180127e-01,9.5955050421e+03,9.5955050431e+03,5.9341894408e+07,2.0000000000e-03,1.0000000000e+00,4.3391848679e+01,False,True,True,True,False,True,False,True,True,True,True
Bolborhynchus_lineola,5.5700000000e+01,2.8000000000e-01,Bolborhynchus,Psittacidae,Psittaciformes,Aves,Chordata,9.3880389609e-01,2.3816107811e-02,8.7230621737e-01,2.8387392565e+02,2.8387392568e+02,9.3011264947e+03,2.2524503646e-02,1.0000000000e+00,5.5028974004e+02,False,True,True,True,True,True,False,True,True,True,True
Lithobates_clamitans,1.2800000000e+02,2.8000000000e-01,Lithobates,Ranidae,Anura,Amphibia,Chordata,8.0564674582e-01,1.0889211482e-01,2.4133969416e-02,2.6959287073e+00,4.7984313653e+03,6.2380176394e+03,2.0000000000e-03,1.0000000000e+00,1.9457140056e+01,False,True,True,True,False,True,True,True,True,True,True
Tyrannus_forficatus,4.3000000000e+01,2.8000000000e-01,Tyrannus,Tyrannidae,Passeriformes,Aves,Chordata,9.6917929978e-01,2.9415888453e-02,8.5356636023e-01,9.6147647367e+01,9.6147647377e+01,1.6538315337e+03,9.0908302552e-02,1.0000000000e+00,2.2284240324e+03,False,True,True,True,True,True,False,True,True,True,True
Gypaetus_barbatus,6.1750000000e+03,2.8000000000e-01,Gypaetus,Accipitridae,Accipitriformes,Aves,Chordata,9.6838656645e-01,2.1995576128e-02,8.1615494582e-01,4.0409464407e+03,4.0409464411e+03,1.8001469692e+05,1.8164897534e-02,1.0000000000e+00,4.4265080759e+02,False,True,True,True,True,True,False,True,True,True,True
Pseudophryne_bibronii,7.1428571429e-01,2.8000000000e-01,Pseudophryne,Myobatrachidae,Anura,Amphibia,Chordata,5.4531714121e-01,3.0503317842e-02,7.7735121243e-02,1.2259210865e+01,2.9023682762e+02,4.6557760991e+03,2.0000000000e-03,1.0000000000e+00,1.0405613503e+03,False,True,True,True,False,True,True,True,True,True,True
Synodontis_nebulosus,4.2700000000e+01,2.0000000000e-01,Synodontis,Mochokidae,Siluriformes,Actinopterygii,Chordata,7.7733948257e-01,2.2833000000e-02,1.4204132987e-01,5.2297270179e-01,6.0630007411e-01,8.1079797789e+03,2.0000000000e-03,1.0502782610e+00,1.3849805707e+01,True,True,False,True,False,True,True,True,True,True,True
Caloenas_nicobarica,5.1900000000e+02,2.8000000000e-01,Caloenas,Columbidae,Columbiformes,Aves,Chordata,9.9322672771e-01,9.8731813236e-03,6.9451618504e-01,1.3671858855e+01,1.3671858857e+01,3.1472106915e+02,3.6888650440e-01,1.0000000000e+00,8.8040503449e+03,False,True,True,True,True,True,False,True,True,True,True
Rana_muscosa,7.6000000000e+01,2.8000000000e-01,Rana,Ranidae,Anura,Amphibia,Chordata,9.7402078710e-01,1.3785265303e-01,8.9247005280e-02,7.3605403056e-01,1.9449641520e+02,1.6401803387e+03,2.0000000000e-03,1.0000000000e+00,2.3089072790e+01,False,True,True,True,False,True,True,True,True,True,True
Streptopelia_roseogrisea,1.4800000000e+02,2.8000000000e-01,Streptopelia,Columbidae,Columbiformes,Aves,Chordata,7.3141056481e-01,2.7734468261e-02,9.4960263007e-01,1.7084380341e+03,1.7084380343e+03,4.4141038037e+04,8.6117414851e-02,1.0000000000e+00,2.0985289490e+03,False,True,True,True,True,True,False,True,True,True,True
Astacus_astacus,6.8200000000e+01,1.7000000000e-01,Astacus,Astacidae,Decapoda,Malacostraca,Arthropoda,9.0623692933e-01,2.2850325779e-02,1.0381590620e-01,2.8839012585e+00,2.8839012587e+00,6.6965833190e+03,2.0000000000e-03,1.0000000000e+00,4.2623328272e+01,False,True,True,True,False,True,False,True,True,True,True
Hippocampus_erectus,3.0600000000e+01,2.0000000000e-01,Hippocampus,Syngnathidae,Syngnathiformes,Actinopterygii,Chordata,7.7129319109e-01,3.9980926797e-02,7.7125548779e-02,3.2272559005e+01,1.4168563045e+02,3.2550267857e+03,2.0000000000e-03,1.5882652998e+00,2.8954822774e+01,True,True,True,True,False,True,True,True,True,True,True
Megascops_kennicottii,1.9400000000e+02,2.8000000000e-01,Megascops,Strigidae,Strigiformes,Aves,Chordata,9.3695230465e-01,2.4252392538e-02,7.5923014238e-01,1.0397356572e+03,1.0397356573e+03,1.5482587105e+04,3.8246122271e-02,1.0000000000e+00,9.3472450390e+02,False,True,True,True,True,True,False,True,True,True,True
Nipponia_nippon,1.9000000000e+03,2.8000000000e-01,Nipponia,Threskiornithidae,Pelecaniformes,Aves,Chordata,9.2446118278e-01,2.6635590776e-02,7.9539399010e-01,2.6256889326e+03,2.6256889328e+03,8.9652116537e+04,5.5290388704e-02,1.0000000000e+00,1.3520160127e+03,False,True,True,True,True,True,False,True,True,True,True
Plegadis_chihi,4.8750000000e+02,2.8000000000e-01,Plegadis,Threskiornithidae,Pelecaniformes,Aves,Chordata,9.3473472454e-01,2.4912715518e-02,8.5887852560e-01,8.1087520127e+02,8.1087520135e+02,1.2560723938e+04,1.6773620125e-01,1.0000000000e+00,4.1225600650e+03,False,True,True,True,True,True,False,True,True,True,True
Tichodroma_muraria,2.1000000000e+01,2.8000000000e-01,Tichodroma,Tichodromadidae,Passeriformes,Aves,Chordata,9.2673277512e-01,2.3702831624e-02,8.1458295628e-01,3.4420683443e+02,3.4420683446e+02,5.3849969335e+03,1.9754186649e-02,1.0000000000e+00,4.8179729624e+02,False,True,True,True,True,True,False,True,True,True,True
Stolephorus_nelsoni,6.2200000000e+00,2.0000000000e-01,Stolephorus,Engraulidae,Clupeiformes,Actinopterygii,Chordata,9.8640416520e-01,3.2869236280e-02,2.7122229549e-02,1.3562780856e-02,1.1200421895e-01,6.4167579507e+01,2.0000000000e-03,1.9911419279e+00,7.8869249090e+01,True,True,True,True,False,True,True,True,True,True,True
Crotalus_lepidus,2.1900000000e+02,3.0000000000e-01,Crotalus,Viperidae,Squamata,Reptilia,Chordata,8.4249941620e-01,2.2388531305e-02,1.9673931570e-01,6.9507173732e+03,6.9507173739e+03,6.6618838892e+04,1.0000000000e-03,1.0000000000e+00,1.2014544958e+01,False,True,True,True,False,True,False,True,True,True,True
Pagophilus_groenlandicus,1.8000000000e+05,3.0000000000e-01,Pagophilus,Phocidae,Carnivora,Mammalia,Chordata,6.6499916034e-01,3.4595996056e-02,7.7823356254e-01,1.2685466284e+07,1.2685466285e+07,3.6691948257e+08,7.0209434653e-04,1.0000000000e+00,1.8876476726e+01,False,True,True,True,True,True,False,True,True,True,True
Tockus_monteiri,3.0000000000e+02,2.8000000000e-01,Tockus,Bucerotidae,Bucerotiformes,Aves,Chordata,8.1195110455e-01,3.0237698962e-02,9.1350533075e-01,6.3298133521e+03,6.3298133528e+03,1.1549438847e+05,2.8940786889e-02,1.0000000000e+00,7.0806069600e+02,False,True,True,True,True,True,False,True,True,True,True
