46	4.25
48	1.75
56	5.6
56.001	1.35
60	7.55
60.001	11.05
60.002	10.7
60.003	8.15
60.004	7.15
60.005	12.15
62	9.65
62.001	9.75
62.002	8.2
63	13.8
63.001	16.45
64	14.8
64.001	12.4
64.002	15.3
64.003	8.6
65	10.15
67	9.45
67.001	9.45
67.002	12.95
68	12.7
68.001	21.25
69	12.35
69.001	7.8
70	11.1
70.001	14.25
71	11
72	14.15
72.001	16.3
72.002	14.75
72.003	20.9
73	7.15
73.001	26.2
74	24.3
75	5.05
76	15.4
77	16.2
77.001	19.35
77.002	18.45
78	18.35
78.001	15.55
78.002	16.1
79	12.4
80	16.3
80.001	9.5
81	30.4
83	36.15
87	46.5
87.001	24.95
90	8.5
92	14.25
96	3.05
96.001	24.3
96.002	18
97	15
100	29.85
101	19.75
101.001	21.45
101.002	14.4
102	6.9
102.001	64.85
102.002	27.4
104	22.7
105	54.65
105.001	21.25
106	10.2
107	4.1
107.001	20.3
110	4.25
117	8.25
123	56.5
130	69.8
135	74.75
138	98.2
