species,ab/m,abjx/m,ap/m,am,d_V,Wwb/i,Wwbjx/i,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,E_G,h_a,E_Hb/bjx,E_Hbjx/p,E_Hp
Pelophylax_ridibundus,1.240941e-03,3.112886e-02,2.739682e-01,6.446721e+03,2.800000e-01,7.875000e-05,5.750000e-03,8.000000e+01,1.166252e+01,2.881500e+02,False,False,3.726137e+02,5.148400e-01,6.940400e-02,5.441860e+01,7.306298e+03,1.385000e-08,9.737721e-03,9.058315e-03,2.315000e+05
Pygoscelis_papua,9.233226e-03,9.233226e-03,2.503934e-02,7.885658e+02,2.800000e-01,2.222222e-02,2.222222e-02,5.715000e+03,3.297125e-02,3.113500e+02,False,False,1.484351e+04,9.975100e-01,1.000000e-01,2.390390e+03,7.322106e+03,1.929000e-12,1.000000e+00,2.685289e-03,2.148000e+05
Sialia_currucoides,6.642855e-03,1.273114e-02,2.490770e-02,3.995097e+02,2.800000e-01,1.060811e-01,1.060811e-01,2.960000e+01,2.252762e-01,3.147500e+02,False,False,6.464288e+02,8.362300e-01,6.135900e-02,2.411506e+02,7.320036e+03,2.684000e-13,1.420256e-01,3.974092e-01,4.323000e+04
Acrocephalus_palustris,5.396668e-03,8.751435e-03,1.546097e-02,4.350216e+02,2.800000e-01,9.523810e-02,9.523810e-02,1.260000e+01,9.912151e-02,3.147500e+02,False,False,1.204669e+03,9.543100e-01,3.446800e-02,9.159652e+02,7.329676e+03,4.759000e-12,1.649485e-01,4.309957e-01,1.868000e+03
Dama_dama,7.704111e-02,9.870524e-02,1.265591e-01,1.934373e+03,3.000000e-01,6.000000e-02,4.514000e-01,5.000000e+04,1.395801e-02,3.117500e+02,False,True,9.023231e+02,9.308400e-01,1.670300e-01,2.716600e+01,7.840166e+03,2.248000e-12,1.214041e-01,4.971000e-01,2.000000e+07
Fregata_minor,4.930335e-03,4.930335e-03,1.321323e-02,2.071877e+03,2.800000e-01,6.849315e-02,6.849315e-02,1.460000e+03,2.075413e-02,3.138500e+02,False,False,2.244761e+04,9.934800e-01,3.215700e-02,9.499999e+03,7.297343e+03,9.948000e-18,1.000000e+00,5.037965e-03,2.634000e+05
Thripadectes_holostictus,4.598900e-03,8.434516e-03,1.610575e-02,6.658494e+02,2.800000e-01,1.096491e-01,1.096491e-01,4.560000e+01,2.252762e-02,3.147500e+02,False,False,1.377552e+03,9.682500e-01,4.231400e-02,6.789244e+02,7.320047e+03,3.167000e-13,1.386404e-01,5.163495e-01,5.413000e+03
Physeter_macrocephalus,2.393891e-02,4.386419e-02,1.279062e-01,6.845352e+03,3.000000e-01,7.142857e-02,7.142857e-02,1.400000e+07,2.249702e-03,3.091500e+02,False,True,2.726324e+03,9.145400e-01,7.288100e-02,1.892600e+01,7.850467e+03,3.107000e-13,3.085667e-01,2.479038e-01,1.455000e+09
Pterodroma_hypoleuca,4.447607e-03,4.447607e-03,1.156378e-02,2.012728e+03,2.800000e-01,1.083333e-01,1.083333e-01,3.600000e+02,1.530262e-02,3.105500e+02,False,False,2.385547e+03,9.923100e-01,7.198800e-02,5.972956e+02,7.305922e+03,8.321000e-14,1.000000e+00,2.230571e-02,5.057000e+04
Ardeola_idae,6.122489e-03,6.122489e-03,1.278916e-02,8.068388e+02,2.800000e-01,8.498024e-02,8.498024e-02,2.530000e+02,5.391412e-02,3.126500e+02,False,False,1.842841e+04,9.916200e-01,2.418500e-02,1.400090e+04,7.322548e+03,3.136000e-12,1.000000e+00,2.183415e-02,2.050000e+04
Antigone_vipio,2.532667e-03,2.532667e-03,6.794463e-03,2.420516e+03,2.800000e-01,2.494103e-02,2.494103e-02,4.663000e+03,3.718215e-02,3.126500e+02,False,False,6.342094e+03,9.951600e-01,4.000000e-02,1.112847e+03,7.326730e+03,8.289000e-15,1.000000e+00,1.390633e-02,7.644000e+04
Hemicentetes_semispinosus,2.038196e-01,2.251286e-01,4.067623e-01,2.610595e+02,3.000000e-01,6.388889e-02,6.388889e-02,1.800000e+02,8.273977e-02,3.081500e+02,False,True,1.006365e+03,8.674800e-01,5.147200e-02,2.447371e+02,7.808788e+03,5.237100e-10,2.604999e-01,5.395243e-02,4.573754e+05
Desmognathus_quadramaculatus,8.949772e-03,8.949772e-03,1.689498e-01,8.790984e+03,2.800000e-01,3.267123e-03,3.267123e-03,1.460000e+01,3.839161e-02,2.881500e+02,False,False,6.387905e+01,8.797300e-01,4.934100e-02,2.347970e+01,7.314020e+03,5.217000e-09,1.000000e+00,2.148936e-02,1.833000e+03
Poospiza_ornata,5.109889e-03,7.727849e-03,1.296377e-02,3.995097e+02,2.800000e-01,1.347458e-01,1.347458e-01,1.180000e+01,7.659389e-02,3.147500e+02,False,False,8.744403e+02,9.718700e-01,5.193500e-02,5.694467e+02,7.319020e+03,9.958000e-13,2.390702e-01,4.034783e-01,1.610000e+03
Cirrhinus_cirrhosus,5.479452e-04,5.479452e-04,8.054795e-02,4.419689e+03,2.000000e-01,4.122835e-08,4.122835e-08,1.270000e+04,5.656507e+03,3.011500e+02,True,False,1.193913e+02,9.073800e-01,1.981700e-02,1.688460e+01,5.214651e+03,2.051000e-10,4.840637e-02,4.006385e-06,6.265000e+05
Anaxyrus_boreas,8.299075e-04,1.107410e-02,3.231813e-01,4.197500e+03,2.800000e-01,4.520990e-05,1.237890e-03,9.290000e+01,1.424658e+01,2.881500e+02,False,False,5.642755e+02,7.936500e-01,4.611100e-02,1.408249e+02,7.317181e+03,3.977000e-09,2.743938e-02,2.911607e-04,3.541000e+05
Podocnemis_expansa,4.781420e-03,4.781420e-03,2.221727e-01,4.886631e+03,3.000000e-01,1.020372e-04,1.020372e-04,9.000000e+04,5.177391e-01,3.001500e+02,False,False,5.305070e+02,9.204600e-01,4.709400e-02,1.478000e+01,7.865573e+03,5.629000e-10,1.000000e+00,6.640390e-04,1.332000e+07
Urocitellus_columbianus,3.881235e-02,5.707719e-02,2.054790e-01,5.562398e+02,3.000000e-01,1.458333e-02,1.458333e-02,4.800000e+02,7.550700e-02,3.086500e+02,False,True,8.750139e+03,9.782900e-01,5.398900e-02,3.050668e+03,7.834533e+03,2.029000e-10,5.765012e-03,5.553062e-02,6.238000e+05
Dryomys_nitedula,5.056129e-02,7.060806e-02,2.944637e-01,3.216794e+02,3.000000e-01,3.089286e-02,3.089286e-02,5.600000e+01,4.588419e-02,3.106500e+02,False,True,1.819465e+03,9.364200e-01,1.765200e-02,1.104846e+03,7.835537e+03,8.246000e-10,5.203553e-02,3.333059e-02,1.216000e+05
Chlidonias_hybrida,8.344107e-03,8.344107e-03,1.095337e-02,9.845140e+02,2.800000e-01,1.300000e-01,1.300000e-01,1.000000e+02,6.399096e-02,3.141500e+02,False,False,1.468866e+04,9.948900e-01,1.228900e-01,8.435467e+03,7.164669e+03,5.516000e-14,1.000000e+00,1.732636e-02,1.339000e+04
Otonyctomys_hatti,7.146205e-02,8.296890e-02,1.098182e-01,3.922920e+02,3.000000e-01,1.161290e-01,6.774194e-01,3.100000e+01,1.937332e-01,3.106500e+02,False,True,4.875966e+03,9.290900e-01,3.836800e-02,3.769836e+03,7.852430e+03,2.235000e-18,4.122319e-02,2.051618e-01,8.408000e+04
Bufotes_viridis,2.739726e-03,3.178082e-02,2.527397e-01,3.650000e+03,2.800000e-01,2.510460e-05,2.510460e-05,1.673000e+02,2.191781e+01,2.931500e+02,False,False,2.589735e+02,7.876000e-01,4.665200e-02,4.671940e+01,7.306290e+03,8.211000e-09,6.676751e-03,4.678698e-03,1.413000e+05
Papasula_abbotti,3.835616e-03,3.835616e-03,1.547945e-02,2.253101e+03,2.800000e-01,3.870968e-02,3.870968e-02,1.550000e+03,7.101325e-03,3.151500e+02,False,False,2.441614e+04,9.983900e-01,3.630800e-02,9.499934e+03,7.311284e+03,2.061000e-13,1.000000e+00,1.873055e-03,8.996000e+04
Merops_bulocki,1.043864e-02,1.043864e-02,1.865782e-02,4.619980e+02,2.800000e-01,7.183908e-02,7.183908e-02,3.480000e+01,9.090949e-02,3.127500e+02,False,False,8.815749e+03,9.947300e-01,7.879200e-02,6.808983e+03,7.320128e+03,3.746000e-13,1.000000e+00,8.701299e-03,4.081000e+03
Acrocephalus_arundinaceus,6.374713e-03,9.901093e-03,1.695385e-02,4.483386e+02,2.800000e-01,7.782101e-02,7.782101e-02,2.570000e+01,1.126381e-01,3.147500e+02,False,False,1.502734e+03,9.575500e-01,2.999400e-02,1.007170e+03,7.332645e+03,6.244000e-12,1.670868e-01,3.957302e-01,2.506000e+03
Ictinia_mississippiensis,2.365860e-02,2.365860e-02,3.442181e-02,5.250742e+02,2.800000e-01,5.466238e-02,5.466238e-02,3.110000e+02,4.266064e-02,3.141500e+02,False,False,2.074157e+03,9.950700e-01,7.644600e-02,5.287251e+02,7.323565e+03,4.159000e-13,1.000000e+00,1.710903e-02,1.816000e+04
Lophocebus_albigena,1.912307e-02,3.685519e-02,1.302342e-01,2.871753e+03,3.000000e-01,6.093190e-02,6.093190e-02,6.975000e+03,5.014359e-03,3.104500e+02,False,True,3.057816e+02,9.106900e-01,2.125700e-02,2.081600e+01,7.828320e+03,1.895000e-12,2.175870e-01,1.469136e-01,4.536000e+06
Amphiura_filiformis,1.070565e-04,9.099801e-04,1.200000e-01,3.304156e+04,9.000000e-02,8.955786e-08,1.407525e-03,5.846500e+00,5.022548e+02,2.841500e+02,True,False,1.439180e+01,9.914600e-01,3.039900e-02,4.150950e+01,2.347901e+03,3.000000e-09,6.978707e-03,7.163842e-06,1.770000e+02
Dipodomys_nitratoides,5.452370e-02,6.509122e-02,8.896597e-02,5.724897e+02,3.000000e-01,8.957746e-02,5.633803e-01,3.550000e+01,5.624555e-02,3.101500e+02,False,True,3.615776e+03,9.756900e-01,3.950500e-02,2.622567e+03,7.843391e+03,2.671000e-11,3.575844e-02,2.031884e-01,3.105000e+04
Cacatua_moluccensis,1.698223e-03,1.698223e-03,3.571896e-03,4.637215e+03,2.800000e-01,1.964706e-02,1.964706e-02,8.500000e+02,2.837910e-02,3.119500e+02,False,False,2.180955e+04,9.987400e-01,6.916000e-02,8.489056e+03,7.360488e+03,5.409000e-26,1.000000e+00,2.473389e-03,1.428000e+04
Anthus_hellmayri,6.975859e-03,1.051595e-02,1.759615e-02,3.950707e+02,2.800000e-01,1.066667e-01,1.066667e-01,1.875000e+01,9.011046e-02,3.147500e+02,False,False,9.678621e+02,9.665000e-01,3.592600e-02,6.084946e+02,7.323954e+03,5.508000e-13,2.018416e-01,3.800747e-01,2.143000e+03
Bucephala_clangula,8.466803e-03,1.606987e-02,2.157554e-02,9.621281e+02,2.800000e-01,4.762500e-02,4.762500e-02,8.000000e+02,2.172268e-01,3.133500e+02,False,False,1.161669e+04,9.582100e-01,1.454000e-02,6.149172e+03,7.317245e+03,9.153000e-13,1.000000e+00,2.355627e-02,1.555000e+05
Myotis_emarginatus,1.945849e-02,2.452759e-02,7.449440e-02,2.232154e+03,3.000000e-01,2.941176e-01,2.941176e-01,8.500000e+00,1.016955e-02,3.079500e+02,False,True,5.602728e+03,9.766800e-01,1.963500e-02,9.401540e+03,7.845371e+03,3.136000e-12,7.382293e-02,4.542073e-01,8.604000e+03
Mysis_mixta,2.944444e-01,2.944444e-01,7.944444e-01,9.437832e+02,1.700000e-01,5.388601e-02,5.388601e-02,5.676471e-02,3.814435e-02,2.831500e+02,True,False,1.142064e+02,6.483000e-01,1.409000e-02,4.000000e+02,4.400000e+03,2.166000e-05,2.143577e-01,3.349504e-01,4.741000e+01
Sporophila_beltoni,9.197800e-03,1.376401e-02,2.289643e-02,2.663398e+02,2.800000e-01,1.200000e-01,1.200000e-01,1.000000e+01,4.505523e-02,3.147500e+02,False,False,1.026316e+03,9.766800e-01,3.642800e-02,8.191404e+02,7.313103e+03,8.624000e-12,2.230071e-01,4.280510e-01,8.235000e+02
Planigale_tenuirostris,3.648361e-02,8.653629e-02,1.629325e-01,4.700928e+02,3.000000e-01,5.465116e-03,6.744186e-01,4.300000e+00,1.327397e-01,3.089500e+02,False,True,5.108021e+02,9.881200e-01,1.911700e-02,5.149767e+02,7.846527e+03,7.498000e-14,1.113243e-03,2.792823e-01,2.090000e+03
Scalopus_aquaticus,1.920770e-01,2.249537e-01,4.980130e-01,1.802956e+02,3.000000e-01,1.071000e-01,6.960000e-01,5.000000e+01,4.991803e-02,3.114500e+02,False,True,2.708674e+03,8.156100e-01,6.229600e-02,1.176620e+03,7.834841e+03,2.088000e-10,1.950000e-02,1.914894e-01,8.460000e+05
Mirounga_leonina,2.416317e-02,2.668371e-02,1.402180e-01,1.866464e+03,3.000000e-01,1.062500e-01,3.125000e-01,4.000000e+05,1.339431e-02,3.112500e+02,False,True,6.014316e+02,7.318000e-01,6.820100e-02,7.719100e+00,7.845616e+03,4.653000e-12,9.245758e-01,1.152681e-01,7.925000e+08
Ctenodactylus_vali,1.222406e-01,1.505826e-01,2.879232e-01,4.986672e+02,3.000000e-01,1.140401e-01,1.140401e-01,1.745000e+02,2.326201e-02,3.095500e+02,False,True,3.381148e+03,8.438000e-01,3.531200e-02,1.261893e+03,7.854669e+03,2.524000e-10,4.020161e-02,1.828010e-01,1.221000e+06
Pan_troglodytes,1.056224e-02,6.180527e-02,1.662746e-01,5.415118e+03,3.000000e-01,4.048106e-02,4.048106e-02,4.498400e+04,4.766418e-03,3.088500e+02,False,True,2.302186e+02,9.441800e-01,2.760400e-02,7.924800e+00,7.866322e+03,1.141000e-12,5.632136e-02,2.820896e-01,2.546000e+07
Daphnia_obtusa,7.023411e-02,7.023411e-02,2.709030e-01,2.485197e+01,1.700000e-01,7.111971e-03,7.111971e-03,1.223529e-03,8.772779e+00,2.951500e+02,False,False,2.741429e+02,7.180900e-01,1.710400e-02,3.162144e+03,4.444442e+03,3.340000e-04,1.000000e+00,2.672697e-02,1.824000e-01
Cavia_aperea,8.794152e-02,9.570408e-02,1.217315e-01,4.159552e+02,3.000000e-01,9.365777e-02,2.686028e-01,6.370000e+02,1.803079e-01,3.121500e+02,False,True,1.978294e+03,7.965400e-01,2.573500e-02,4.378412e+02,7.831169e+03,7.409000e-12,3.649556e-01,2.137582e-01,4.739000e+05
