species,ab/m,ap/m,am,d_V,Wwb/i,Wwbjx/i,Wwp/i,Wwi,Ri,T_typical,acceleration,weaning,foetus,p_Am,kap,v,p_M,E_G,h_a,E_Hb/bjx,E_Hbjx/p,E_Hp
Python_regius,2.633548e-03,4.595890e-02,7.725899e+03,3.000000e-01,3.909091e-02,3.909091e-02,3.636364e-01,2.200000e+03,2.588696e-02,3.001500e+02,,False,,5.609724e+02,8.521400e-01,4.643500e-02,3.970720e+01,7.820473e+03,5.265000e-11,1.000000e+00,7.481869e-02,7.446000e+05
Lepomis_cyanellus,5.479452e-04,5.000000e-02,2.309602e+03,2.000000e-01,5.447917e-07,5.447917e-07,7.291667e-03,9.600000e+02,1.125735e+02,2.981500e+02,,False,,1.686717e+02,9.923700e-01,7.457900e-02,1.936360e+01,5.210845e+03,2.585000e-09,9.991708e-01,5.667293e-05,2.128000e+02
Clypeaster_subdepressus,7.402962e-05,1.250740e-01,2.344262e+04,9.000000e-02,1.020000e-08,1.112823e-08,3.700000e-02,5.000000e+02,8.190210e+03,2.991500e+02,,False,,1.008441e+01,8.000000e-01,1.336000e-02,3.622600e+00,2.376252e+03,9.252000e-10,3.084782e-02,7.030784e-06,1.072000e+04
Larimichthys_polyactis,4.871713e-04,3.026680e-02,1.388441e+04,2.000000e-01,1.186709e-06,1.186709e-06,5.359375e-03,1.011200e+03,3.478722e+02,2.911500e+02,,False,,6.177799e+02,5.598600e-01,3.463500e-02,5.667310e+01,5.217896e+03,5.773000e-09,9.998933e-01,1.508292e-04,6.211000e+03
Ichthyophis_kohtaoensis,2.054795e-02,2.205479e-01,2.768433e+03,2.800000e-01,5.337079e-03,5.337079e-02,1.235955e-01,3.560000e+02,1.697711e-01,2.961500e+02,,False,,1.690229e+02,7.136300e-01,2.606800e-02,2.098940e+01,7.318445e+03,8.446000e-09,8.487995e-02,3.796034e-01,8.119000e+04
Triturus_karelinii,6.226650e-03,2.334994e-01,7.827311e+03,2.800000e-01,3.301887e-04,3.301887e-04,1.622642e-01,1.060000e+01,8.432015e-01,2.861500e+02,,False,,1.059327e+02,7.188800e-01,4.404700e-02,3.821020e+01,7.305864e+03,2.210000e-08,1.000000e+00,1.447740e-03,5.023000e+03
Salamandrina_perspicillata,1.020232e-02,3.852023e-01,3.640523e+03,2.800000e-01,2.198953e-03,1.154318e-02,3.717277e-01,1.910000e+00,1.977738e-01,2.911500e+02,,False,,1.926561e+01,7.345300e-01,8.160600e-02,1.152000e+01,7.347021e+03,4.415000e-10,1.768224e-01,1.983649e-02,3.119000e+03
Ctenophorus_ornatus,4.561383e-02,1.038872e-01,1.539823e+03,3.000000e-01,4.710089e-02,4.710089e-02,3.312899e-01,3.915000e+01,4.141013e-02,3.031500e+02,,False,,3.050411e+02,5.822500e-01,1.555200e-02,9.335620e+01,7.805840e+03,7.809000e-09,1.000000e+00,5.573576e-02,5.056000e+04
Scomber_scombrus,2.112709e-03,1.000000e-01,1.698550e+04,2.000000e-01,1.964286e-08,1.964286e-08,6.250000e-02,2.800000e+03,3.781379e+03,2.851500e+02,,False,,7.758885e+01,8.567000e-01,3.233000e-02,3.369000e+01,5.219000e+03,8.440000e-09,3.516388e-03,1.106588e-04,1.351000e+05
Crassostrea_virginica,1.583100e-04,7.612822e-03,7.300000e+03,9.000000e-02,4.189944e-09,2.094972e-07,3.351955e-03,3.977778e+02,1.300000e+06,2.931500e+02,,False,,1.142673e+01,6.810300e-01,2.198600e-02,4.165700e+00,2.315063e+03,9.487000e-10,1.734056e-02,7.389117e-05,9.740000e+02
Callorhinus_ursinus,2.634352e-02,2.065332e-01,2.006397e+03,3.000000e-01,1.125000e-01,1.125000e-01,6.250000e-01,4.000000e+04,1.295985e-02,3.108500e+02,,True,,2.586603e+02,8.702000e-01,2.495700e-02,8.109900e+00,7.857464e+03,1.080000e-11,5.385923e-01,9.088381e-02,3.236000e+07
Phascolarctos_cinereus,3.516864e-02,1.351686e-01,1.117694e+03,3.000000e-01,6.024096e-05,2.409639e-01,7.228916e-01,8.300000e+03,1.342049e-02,3.091500e+02,,True,,1.740336e+03,7.407800e-01,1.060600e-01,1.030977e+02,7.807520e+03,2.979800e-18,6.338584e-05,2.054101e-01,3.004629e+07
Macropus_eugenii,2.891421e-02,8.978693e-02,1.073478e+03,3.000000e-01,7.400000e-05,3.160000e-01,5.400000e-01,5.000000e+03,1.406643e-02,3.096500e+02,,True,,6.771963e+02,8.786300e-01,1.459700e-01,4.411660e+01,7.912058e+03,3.919000e-21,1.250967e-04,5.424974e-01,3.812000e+06
Branchiostoma_floridae,1.245330e-03,2.092154e-02,7.305140e+02,6.000000e-02,1.712067e-04,7.512328e-04,6.235183e-02,4.218000e-01,6.870163e+02,3.036500e+02,,False,,6.232006e+00,8.286000e-01,1.170000e-02,2.608000e+01,1.565000e+03,3.967000e-10,2.406224e-02,1.129554e-02,8.591000e+00
