species,ab,ap,am,d_V,Wwb,Wwbjx,Wwp,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hbjx,E_Hp
Chromis_chromis,4.405199e+00,6.067538e+02,3.285000e+03,2.000000e-01,3.490206e-04,1.829203e-02,7.850000e+00,2.292000e+01,2.000000e+02,2.951500e+02,True,False,4.383932e+01,8.885900e-01,3.527500e-02,3.054350e+01,5.204230e+03,6.876000e-09,4.375000e-02,7.261000e-01,6.676000e+03
Claudius_angustatus,6.011293e+01,9.440507e+02,2.846280e+03,3.000000e-01,3.800000e+00,3.800000e+00,1.185000e+02,4.000000e+02,3.393904e-02,3.011500e+02,False,False,5.079112e+01,8.674500e-01,4.379700e-02,6.367700e+00,7.863812e+03,3.786000e-10,3.742000e+03,3.742000e+03,2.097000e+05
Porcellio_scaber,3.500000e+01,4.350000e+02,1.500000e+03,1.700000e-01,4.000000e-04,4.000000e-04,5.000000e-02,8.340000e-02,2.600000e-01,2.931500e+02,False,False,3.471825e+01,8.443800e-01,2.356000e-02,7.529510e+01,4.437018e+03,2.087000e-08,2.816000e-01,2.816000e-01,9.433000e+01
Amphiura_filiformis,3.537313e+00,3.964987e+03,3.304156e+04,9.000000e-02,5.236000e-07,8.229094e-03,4.775600e+00,5.846500e+00,5.022548e+02,2.841500e+02,True,False,1.439180e+01,9.914600e-01,3.039900e-02,4.150950e+01,2.347901e+03,3.000000e-09,8.849000e-06,1.268000e-03,1.770000e+02
Boops_boops,4.824738e+00,6.561643e+02,3.522059e+03,2.000000e-01,5.240000e-04,5.240000e-04,4.450000e+01,2.160000e+02,3.564961e+02,2.911500e+02,True,False,2.975525e+02,7.885400e-01,6.279000e-02,4.939830e+01,5.221437e+03,2.236000e-08,3.018000e-01,3.021000e-01,5.848000e+04
Siren_lacertina,7.237107e+01,9.528857e+02,1.100643e+04,2.800000e-01,4.487916e-03,4.487916e-03,1.420000e+01,1.000000e+03,3.179958e+00,2.911500e+02,False,False,3.865523e+02,9.531000e-01,1.211300e-02,6.451790e+01,7.301684e+03,4.651000e-09,1.150000e+00,1.150000e+00,1.781000e+03
Oryctolagus_cuniculus_NZW,5.982919e+00,3.789181e+01,6.239328e+02,3.000000e-01,5.356667e+01,5.356667e+01,2.720000e+03,5.000000e+03,4.688005e-01,3.121500e+02,False,True,1.017491e+04,7.846300e-01,3.802500e-02,1.575563e+03,7.829315e+03,1.669000e-14,7.247000e+04,1.757000e+06,5.292000e+06
Sceloporus_undulatus,2.597660e+01,5.810443e+01,1.795381e+03,3.000000e-01,5.600000e-01,5.600000e-01,6.900000e+00,1.800000e+01,1.706279e-01,2.971500e+02,False,False,5.415735e+02,5.573700e-01,1.257800e-02,2.178685e+02,7.833532e+03,5.781000e-09,9.290000e+02,9.290000e+02,2.480000e+04
Macropus_rufus,3.504931e+01,1.309074e+02,1.955862e+03,3.000000e-01,8.170000e-01,4.500000e+03,1.400000e+04,3.500000e+04,1.656558e-02,3.094500e+02,False,True,6.949204e+02,8.327000e-01,9.691000e-02,2.242000e+01,7.163000e+03,6.379000e-17,5.916000e+02,4.028000e+06,1.377000e+07
Bos_primigenius_Angus,1.978371e+02,2.580961e+02,1.289582e+03,3.000000e-01,3.180000e+04,1.987000e+05,2.350000e+05,4.600000e+05,1.475861e-02,3.117500e+02,False,True,2.112856e+03,9.569600e-01,1.272100e-01,3.638750e+01,7.782354e+03,1.245500e-12,4.623567e+06,3.223556e+07,4.537367e+07
Planorbis_planorbis,1.250000e+01,6.000000e+01,2.100000e+02,1.500000e-01,6.117000e-05,8.800000e-03,1.216000e-01,4.336000e-01,1.000000e+01,2.931500e+02,True,False,8.358020e+01,9.631000e-01,1.730000e-02,7.659000e+02,3.919000e+03,2.806000e-06,5.026000e-03,1.036000e+00,2.513000e+01
Calotriton_asper,9.857291e+01,3.926138e+03,2.487917e+04,2.800000e-01,4.020000e-02,4.788260e-02,3.670000e+00,1.400000e+01,2.612627e-02,2.831500e+02,False,False,8.690360e+01,8.481100e-01,1.131100e-01,3.119870e+01,7.306736e+03,1.872000e-09,4.541000e+01,3.878000e+02,5.680000e+03
Galeocerdo_cuvier,2.911215e+02,1.769145e+03,5.764292e+03,2.000000e-01,9.290000e+02,9.290000e+02,1.590000e+05,1.144000e+06,2.368027e-02,2.991500e+02,False,False,9.539094e+02,9.769000e-01,2.173000e-02,1.974230e+01,5.221196e+03,1.815000e-09,1.497000e+04,1.497000e+04,3.103000e+06
Engraulis_encrasicolus,6.727388e+00,5.215647e+02,4.134504e+03,2.000000e-01,1.207863e-05,9.498906e-01,4.740312e+00,4.386146e+01,5.038684e+02,2.881500e+02,True,False,1.113720e+01,9.901000e-01,1.944000e-02,5.467000e+01,5.077000e+03,8.464000e-08,1.223000e-04,6.741000e-01,2.440000e+02
Esox_lucius,2.887269e+01,1.944440e+03,1.296293e+04,2.000000e-01,4.800000e-03,4.800000e-03,9.080000e+02,2.460000e+04,1.542861e+02,2.851500e+02,False,False,8.050561e+02,9.281600e-01,2.321700e-02,5.176990e+01,5.230260e+03,3.822000e-08,2.359000e-01,2.359000e-01,9.183000e+04
Pagurus_bernhardus,1.169902e+03,2.126794e+03,3.827565e+03,1.700000e-01,1.800000e-05,1.000000e-02,5.000000e+00,5.400000e+01,6.270305e-01,2.831500e+02,True,False,3.868353e+01,9.999000e-01,2.051500e-02,9.423950e+01,4.400000e+03,4.945000e-07,5.814000e-06,3.228000e-03,2.621000e+00
Ictalurus_furcatus_JR,4.762540e+00,3.297555e+03,1.175997e+04,2.000000e-01,6.187836e-02,6.187836e-02,3.980000e+02,2.572500e+04,2.545074e+02,2.931500e+02,True,False,2.631498e+02,6.716100e-01,3.487100e-02,1.476290e+01,6.967620e+03,4.151000e-09,3.319000e+01,2.492000e+02,1.467000e+06
Carcharias_taurus,2.892414e+01,1.295801e+03,2.533755e+03,2.000000e-01,9.200000e+00,9.200000e+00,8.166000e+04,2.690000e+05,4.736055e+00,2.991500e+02,False,False,1.228548e+03,9.245500e-01,5.600500e-02,3.294260e+01,5.222046e+03,6.058000e-09,7.431000e+02,7.431000e+02,1.685000e+07
Xantusia_vigilis,5.694909e+01,1.334449e+03,3.978500e+03,3.000000e-01,2.300000e-01,2.300000e-01,9.500000e-01,1.300000e+00,5.479452e-03,2.931500e+02,False,False,6.425039e+01,4.118600e-01,1.789700e-02,2.687060e+01,7.828979e+03,4.052000e-09,1.812000e+03,1.812000e+03,1.517000e+04
Trachurus_trachurus,2.155796e+01,6.018147e+02,2.407259e+04,2.000000e-01,1.000000e-03,1.000000e-03,9.100000e+01,1.178000e+03,2.326297e+02,2.881500e+02,True,False,1.959727e+02,9.388000e-01,4.962000e-02,4.333000e+01,5.109000e+03,5.102000e-10,1.196000e-01,1.179000e+00,1.837000e+04
