species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,kap,v,p_M,E_Hb,E_Hp,k_J,s_M,E_Hbj,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Gambusia_holbrooki,1.800447e+01,5.476360e+02,2.000000e-01,3.100000e-03,7.374986e-02,7.300000e+00,2.739045e+00,3.006500e+02,True,3.680964e+01,8.391263e-01,2.257802e-02,1.776088e+01,2.363820e+00,6.380611e+01,2.000000e-03,1.029134e+00,2.582478e+00,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True
Hyperoglyphe_antarctica,4.374281e+01,7.096055e+04,2.000000e-01,2.200000e-04,5.129677e+03,4.000000e+04,1.397960e+03,2.847500e+02,True,1.101044e+02,9.750334e-01,2.310200e-02,2.054835e+01,1.432819e-02,4.988437e+05,2.000000e-03,5.168342e+00,1.985871e+00,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
Urotrygon_aspidura,8.763275e+01,1.747866e+03,2.000000e-01,1.690028e+01,1.352022e+02,7.455000e+02,1.287284e-02,2.980500e+02,False,1.687307e+02,9.147612e-01,3.556679e-02,2.128226e+01,5.385465e+03,5.085958e+04,2.000000e-03,1.000000e+00,5.385465e+03,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
Psophia_crepitans,5.695645e+00,1.332411e+03,2.800000e-01,4.000000e+01,1.235000e+03,1.300000e+03,7.505192e-02,3.127500e+02,False,7.657182e+03,9.498196e-01,2.231291e-02,2.534122e+03,8.927801e+02,2.491607e+04,1.035389e-01,1.000000e+00,8.927801e+02,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True
Chionis_albus,6.124350e+00,1.419337e+03,2.800000e-01,3.200000e+01,7.961000e+02,8.380000e+02,5.072789e-02,3.140500e+02,False,2.346466e+03,9.494384e-01,2.803717e-02,5.664812e+02,2.110566e+03,6.911369e+04,2.299234e-02,1.000000e+00,2.110566e+03,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True
Setophaga_ruticilla,2.449740e+00,4.483386e+02,2.800000e-01,1.100000e+00,8.075000e+00,8.500000e+00,9.011046e-02,3.147500e+02,False,1.285147e+03,9.173090e-01,2.754064e-02,1.158631e+03,1.754507e+02,2.064542e+03,4.696336e-02,1.000000e+00,1.754507e+02,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True
Bubo_bengalensis,7.145075e+00,3.429862e+03,2.800000e-01,4.880000e+01,2.842400e+03,2.992000e+03,4.956468e-02,3.133500e+02,False,2.951137e+03,9.859713e-01,2.566787e-02,5.378111e+02,6.807409e+02,3.602989e+04,2.202810e-02,1.000000e+00,6.807409e+02,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True
Allothunnus_fallai,4.128658e+00,1.808352e+04,2.000000e-01,6.000000e-04,1.050000e+03,1.390000e+04,2.322556e+03,2.915500e+02,True,1.185480e+02,8.883752e-01,1.984900e-02,1.483760e+01,1.712538e-01,3.775298e+05,2.000000e-03,2.567119e+00,2.903751e+00,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
Euptilotis_neoxenus,4.491190e+00,1.284323e+03,2.800000e-01,1.450000e+01,1.237375e+02,1.302500e+02,3.893101e-02,3.131500e+02,False,2.755525e+03,9.097204e-01,2.856721e-02,1.238586e+03,1.700326e+03,1.809231e+04,5.039941e-02,1.000000e+00,1.700326e+03,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,True
Peristedion_cataphractum,1.442669e+01,5.265740e+03,2.000000e-01,3.800000e-04,5.300000e+01,3.286000e+02,7.054963e+01,2.869500e+02,True,1.181480e+02,7.679454e-01,3.263300e-02,2.034536e+01,3.371969e-01,6.636372e+04,2.000000e-03,1.275190e+00,7.012044e-01,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False
Brevoortia_patronus,5.000000e+00,9.238408e+02,2.000000e-01,4.500000e-04,4.050000e+01,5.650000e+02,5.325593e+02,2.981500e+02,True,1.498096e+02,9.223632e-01,4.095620e-02,2.031067e+01,1.069327e-01,1.310599e+04,2.000000e-03,1.000000e+00,1.069327e-01,False,False,True,False,False,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,True,False,False,False
Siganus_rivulatus,2.362138e+00,1.661060e+03,2.000000e-01,8.700000e-05,3.130000e+01,3.500000e+02,3.670770e+03,3.001500e+02,True,3.181005e+01,9.244551e-01,2.943700e-02,3.796670e+01,3.077448e-02,2.548761e+04,2.000000e-03,8.688513e+00,2.086813e+01,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,True,True
Verasper_variegatus,1.731657e+01,4.989907e+03,2.000000e-01,3.800000e-04,3.790000e+02,3.600000e+03,2.105784e+04,2.941500e+02,True,4.710669e+02,2.299676e-01,2.473000e-02,2.370975e+01,1.107325e+00,1.899950e+06,2.000000e-03,2.032115e+00,9.327443e+00,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
Caprimulgus_europaeus,3.878755e+00,6.284205e+02,2.800000e-01,6.500000e+00,6.365000e+01,6.700000e+01,7.574546e-02,3.128500e+02,False,3.053019e+03,9.481868e-01,2.342099e-02,1.969192e+03,3.245843e+02,3.062186e+03,8.055471e-02,1.000000e+00,3.245843e+02,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True
